OWNER,CONSTRAINT_NAME,CONSTRAINT_TYPE,TABLE_NAME,STATUS,R_OWNER,R_CONSTRAINT_NAME,DELETE_RULE,SEARCH_CONDITION_VC
SYSTEM,DTAU_AUTO_FK,R,ADM_DETAUTOR,ENABLED,SYSTEM,AUTO_PK,NO ACTION,
SYSTEM,DTAU_PK,P,ADM_DETAUTOR,ENABLED,,,,
SYSTEM,SYS_C008369,C,ADM_DETAUTOR,ENABLED,,,,"""AUTO_AUTO_ID"" IS NOT NULL"
SYSTEM,SYS_C008370,C,ADM_DETAUTOR,ENABLED,,,,"""DTAU_ID"" IS NOT NULL"
SYSTEM,SYS_C008371,C,ADM_DETAUTOR,ENABLED,,,,"""FECHCREA"" IS NOT NULL"
SYSTEM,SYS_C008372,C,ADM_DETAUTOR,ENABLED,,,,"""USUACREA"" IS NOT NULL"
SYSTEM,AFDM_AFRQ_FK,R,AFJ_AFDETMOV,ENABLED,SYSTEM,AFRQ_PK,NO ACTION,
SYSTEM,AFDM_INRN_FK,R,AFJ_AFDETMOV,ENABLED,SYSTEM,INRN_PK,NO ACTION,
SYSTEM,AFDM_MEMO_FK,R,AFJ_AFDETMOV,ENABLED,SYSTEM,MEMO_PK,NO ACTION,
SYSTEM,AFDM_PK,P,AFJ_AFDETMOV,ENABLED,,,,
SYSTEM,AFDM_RCDP_FK,R,AFJ_AFDETMOV,ENABLED,SYSTEM,RCDP_PK,NO ACTION,
SYSTEM,AFDM_STCT_FK,R,AFJ_AFDETMOV,ENABLED,SYSTEM,STCT_PK,NO ACTION,
SYSTEM,AFDM_UMED_FK,R,AFJ_AFDETMOV,ENABLED,SYSTEM,UMED_PK,NO ACTION,
SYSTEM,AVCON_1348580579_ENTRS_001,C,AFJ_AFDETMOV,ENABLED,,,,"ENTRSALE IN ('E', 'S')"
SYSTEM,AVCON_1348580579_VIGEN_000,C,AFJ_AFDETMOV,ENABLED,,,,"VIGENTE IN ('S', 'N')"
SYSTEM,SYS_C008390,C,AFJ_AFDETMOV,ENABLED,,,,"""AFDM_ID"" IS NOT NULL"
SYSTEM,SYS_C008391,C,AFJ_AFDETMOV,ENABLED,,,,"""FECHHORA"" IS NOT NULL"
SYSTEM,SYS_C008392,C,AFJ_AFDETMOV,ENABLED,,,,"""ENTRSALE"" IS NOT NULL"
SYSTEM,SYS_C008393,C,AFJ_AFDETMOV,ENABLED,,,,"""UMED_UNIDMEDI"" IS NOT NULL"
SYSTEM,SYS_C008394,C,AFJ_AFDETMOV,ENABLED,,,,"""AFIJ_CODIGO"" IS NOT NULL"
SYSTEM,SYS_C008395,C,AFJ_AFDETMOV,ENABLED,,,,"""AFIJ_CLASE"" IS NOT NULL"
SYSTEM,SYS_C008396,C,AFJ_AFDETMOV,ENABLED,,,,"""AFIJ_COMPANIA"" IS NOT NULL"
SYSTEM,SYS_C008397,C,AFJ_AFDETMOV,ENABLED,,,,"""AFRQ_NUMERO"" IS NOT NULL"
SYSTEM,SYS_C008398,C,AFJ_AFDETMOV,ENABLED,,,,"""AFRQ_ENTRSALE"" IS NOT NULL"
SYSTEM,SYS_C008399,C,AFJ_AFDETMOV,ENABLED,,,,"""VIGENTE"" IS NOT NULL"
SYSTEM,SYS_C008400,C,AFJ_AFDETMOV,ENABLED,,,,"""USUACREA"" IS NOT NULL"
SYSTEM,SYS_C008401,C,AFJ_AFDETMOV,ENABLED,,,,"""FECHCREA"" IS NOT NULL"
SYSTEM,DAC1_ASTO_FK,R,AFJ_DETALLE,ENABLED,SYSTEM,ASTO_PK,NO ACTION,
SYSTEM,DAC1_MEMO_FK,R,AFJ_DETALLE,ENABLED,SYSTEM,MEMO_PK,NO ACTION,
SYSTEM,DAC1_PK,P,AFJ_DETALLE,ENABLED,,,,
SYSTEM,SYS_C008479,C,AFJ_DETALLE,ENABLED,,,,"""MEMO_MEMO_ID"" IS NOT NULL"
SYSTEM,SYS_C008480,C,AFJ_DETALLE,ENABLED,,,,"""DAC1_ID"" IS NOT NULL"
SYSTEM,SYS_C008481,C,AFJ_DETALLE,ENABLED,,,,"""FECHCREA"" IS NOT NULL"
SYSTEM,SYS_C008482,C,AFJ_DETALLE,ENABLED,,,,"""USUACREA"" IS NOT NULL"
SYSTEM,DTBA_PK,P,ALM_DETABASC,ENABLED,,,,
SYSTEM,DTBA_PRFM_FK,R,ALM_DETABASC,ENABLED,SYSTEM,PRFM_PK,NO ACTION,
SYSTEM,DTBA_UMED_FK,R,ALM_DETABASC,ENABLED,SYSTEM,UMED_PK,NO ACTION,
SYSTEM,SYS_C008647,C,ALM_DETABASC,ENABLED,,,,"""FECHINGRE"" IS NOT NULL"
SYSTEM,SYS_C008648,C,ALM_DETABASC,ENABLED,,,,"""PESOTARA"" IS NOT NULL"
SYSTEM,SYS_C008649,C,ALM_DETABASC,ENABLED,,,,"""VALOPESO"" IS NOT NULL"
SYSTEM,SYS_C008650,C,ALM_DETABASC,ENABLED,,,,"""DTBA_ID"" IS NOT NULL"
SYSTEM,SYS_C008651,C,ALM_DETABASC,ENABLED,,,,"""FECHCREA"" IS NOT NULL"
SYSTEM,SYS_C008652,C,ALM_DETABASC,ENABLED,,,,"""USUACREA"" IS NOT NULL"
SYSTEM,SYS_C008653,C,ALM_DETABASC,ENABLED,,,,"""UMED_UNIDMEDI"" IS NOT NULL"
SYSTEM,SYS_C008654,C,ALM_DETABASC,ENABLED,,,,"""PESOINGR"" IS NOT NULL"
SYSTEM,SYS_C008655,C,ALM_DETABASC,ENABLED,,,,"""PESOSALE"" IS NOT NULL"
SYSTEM,DTPS_DSPO_FK,R,ALM_DETADESP,ENABLED,SYSTEM,DSPO_PK,NO ACTION,
SYSTEM,DTPS_EGEN_FK,R,ALM_DETADESP,ENABLED,SYSTEM,EGEN_PK,NO ACTION,
SYSTEM,DTPS_PK,P,ALM_DETADESP,ENABLED,,,,
SYSTEM,SYS_C008658,C,ALM_DETADESP,ENABLED,,,,"""EGEN_ESTADO"" IS NOT NULL"
SYSTEM,SYS_C008659,C,ALM_DETADESP,ENABLED,,,,"""DTPS_ID"" IS NOT NULL"
SYSTEM,SYS_C008660,C,ALM_DETADESP,ENABLED,,,,"""IDCLIENTE"" IS NOT NULL"
SYSTEM,SYS_C008661,C,ALM_DETADESP,ENABLED,,,,"""NOMBRE"" IS NOT NULL"
SYSTEM,SYS_C008662,C,ALM_DETADESP,ENABLED,,,,"""COMPANIA"" IS NOT NULL"
SYSTEM,SYS_C008663,C,ALM_DETADESP,ENABLED,,,,"""OFICINA"" IS NOT NULL"
SYSTEM,SYS_C008664,C,ALM_DETADESP,ENABLED,,,,"""SERIE"" IS NOT NULL"
SYSTEM,SYS_C008665,C,ALM_DETADESP,ENABLED,,,,"""FACTURA"" IS NOT NULL"
SYSTEM,SYS_C008666,C,ALM_DETADESP,ENABLED,,,,"""TIPOCOM"" IS NOT NULL"
SYSTEM,SYS_C008667,C,ALM_DETADESP,ENABLED,,,,"""FFACTURA"" IS NOT NULL"
SYSTEM,SYS_C008668,C,ALM_DETADESP,ENABLED,,,,"""CSTOFLET"" IS NOT NULL"
SYSTEM,SYS_C008669,C,ALM_DETADESP,ENABLED,,,,"""DESTINO"" IS NOT NULL"
SYSTEM,SYS_C008670,C,ALM_DETADESP,ENABLED,,,,"""TIPODIRECCION"" IS NOT NULL"
SYSTEM,SYS_C008671,C,ALM_DETADESP,ENABLED,,,,"""USUACREA"" IS NOT NULL"
SYSTEM,SYS_C008672,C,ALM_DETADESP,ENABLED,,,,"""FECHCREA"" IS NOT NULL"
SYSTEM,SYS_C008673,C,ALM_DETADESP,ENABLED,,,,"""DSPO_NUMERO"" IS NOT NULL"
SYSTEM,DTLT_DTMV_FK,R,ALM_DETALOTE,ENABLED,SYSTEM,DTMV_PK,CASCADE,
SYSTEM,DTLT_LOTE_FK,R,ALM_DETALOTE,ENABLED,SYSTEM,LOTE_PK,NO ACTION,
SYSTEM,DTLT_PK,P,ALM_DETALOTE,ENABLED,,,,
SYSTEM,SYS_C008676,C,ALM_DETALOTE,ENABLED,,,,"""DTLT_ID"" IS NOT NULL"
SYSTEM,SYS_C008677,C,ALM_DETALOTE,ENABLED,,,,"""LOTE_COMPANIA"" IS NOT NULL"
SYSTEM,SYS_C008678,C,ALM_DETALOTE,ENABLED,,,,"""LOTE_NUMELOTE"" IS NOT NULL"
SYSTEM,SYS_C008679,C,ALM_DETALOTE,ENABLED,,,,"""DTMV_DTMV_ID"" IS NOT NULL"
SYSTEM,SYS_C008680,C,ALM_DETALOTE,ENABLED,,,,"""FECHCREA"" IS NOT NULL"
SYSTEM,SYS_C008681,C,ALM_DETALOTE,ENABLED,,,,"""USUACREA"" IS NOT NULL"
SYSTEM,SYS_C008682,C,ALM_DETALOTE,ENABLED,,,,"""LOTE_ALCANCE"" IS NOT NULL"
SYSTEM,AVCON_1220130717_ENTRS_000,C,ALM_DETAMOVI,ENABLED,,,,"ENTRSALI IN ('E', 'S')"
SYSTEM,AVCON_1220130717_PROMO_001,C,ALM_DETAMOVI,ENABLED,,,,"PROMOCION IN ('S', 'N')"
SYSTEM,AVCON_1220130717_PRORA_001,C,ALM_DETAMOVI,ENABLED,,,,"PRORATEO IN ('S', 'N')"
SYSTEM,AVCON_1685311051_COMBO_001,C,ALM_DETAMOVI,ENABLED,,,,"COMBO IN ('S', 'N')"
SYSTEM,DTMV_DCAM_FK,R,ALM_DETAMOVI,ENABLED,SYSTEM,DCAM_PK,NO ACTION,
SYSTEM,DTMV_DREQ_FK,R,ALM_DETAMOVI,ENABLED,SYSTEM,DREQ_PK,NO ACTION,
SYSTEM,DTMV_DTMV_FK,R,ALM_DETAMOVI,ENABLED,SYSTEM,DTMV_PK,NO ACTION,
SYSTEM,DTMV_ENSA_FK,R,ALM_DETAMOVI,ENABLED,SYSTEM,ENSA_PK,NO ACTION,
