OWNER,CONSTRAINT_NAME,TABLE_NAME,COLUMN_NAME,POSITION
SYSTEM,DTAU_AUTO_FK,ADM_DETAUTOR,AUTO_AUTO_ID,1
SYSTEM,DTAU_PK,ADM_DETAUTOR,DTAU_ID,1
SYSTEM,SYS_C008369,ADM_DETAUTOR,AUTO_AUTO_ID,
SYSTEM,SYS_C008370,ADM_DETAUTOR,DTAU_ID,
SYSTEM,SYS_C008371,ADM_DETAUTOR,FECHCREA,
SYSTEM,SYS_C008372,ADM_DETAUTOR,USUACREA,
SYSTEM,AFDM_AFRQ_FK,AFJ_AFDETMOV,AFRQ_NUMERO,1
SYSTEM,AFDM_AFRQ_FK,AFJ_AFDETMOV,AFRQ_ENTRSALE,2
SYSTEM,AFDM_INRN_FK,AFJ_AFDETMOV,INRN_ID,1
SYSTEM,AFDM_MEMO_FK,AFJ_AFDETMOV,MEMO_ID,1
SYSTEM,AFDM_PK,AFJ_AFDETMOV,AFDM_ID,1
SYSTEM,AFDM_RCDP_FK,AFJ_AFDETMOV,RCDP_COMPANIA,1
SYSTEM,AFDM_RCDP_FK,AFJ_AFDETMOV,RCDP_IDCLIENTE,2
SYSTEM,AFDM_RCDP_FK,AFJ_AFDETMOV,RCDP_IDRESCLI,3
SYSTEM,AFDM_STCT_FK,AFJ_AFDETMOV,STCT_ID,1
SYSTEM,AFDM_UMED_FK,AFJ_AFDETMOV,UMED_UNIDMEDI,1
SYSTEM,AVCON_1348580579_ENTRS_001,AFJ_AFDETMOV,ENTRSALE,
SYSTEM,AVCON_1348580579_VIGEN_000,AFJ_AFDETMOV,VIGENTE,
SYSTEM,SYS_C008390,AFJ_AFDETMOV,AFDM_ID,
SYSTEM,SYS_C008391,AFJ_AFDETMOV,FECHHORA,
SYSTEM,SYS_C008392,AFJ_AFDETMOV,ENTRSALE,
SYSTEM,SYS_C008393,AFJ_AFDETMOV,UMED_UNIDMEDI,
SYSTEM,SYS_C008394,AFJ_AFDETMOV,AFIJ_CODIGO,
SYSTEM,SYS_C008395,AFJ_AFDETMOV,AFIJ_CLASE,
SYSTEM,SYS_C008396,AFJ_AFDETMOV,AFIJ_COMPANIA,
SYSTEM,SYS_C008397,AFJ_AFDETMOV,AFRQ_NUMERO,
SYSTEM,SYS_C008398,AFJ_AFDETMOV,AFRQ_ENTRSALE,
SYSTEM,SYS_C008399,AFJ_AFDETMOV,VIGENTE,
SYSTEM,SYS_C008400,AFJ_AFDETMOV,USUACREA,
SYSTEM,SYS_C008401,AFJ_AFDETMOV,FECHCREA,
SYSTEM,DAC1_ASTO_FK,AFJ_DETALLE,ASTO_COMPANIA,1
SYSTEM,DAC1_ASTO_FK,AFJ_DETALLE,ASTO_NUMEDIAR,2
SYSTEM,DAC1_MEMO_FK,AFJ_DETALLE,MEMO_MEMO_ID,1
SYSTEM,DAC1_PK,AFJ_DETALLE,DAC1_ID,1
SYSTEM,SYS_C008479,AFJ_DETALLE,MEMO_MEMO_ID,
SYSTEM,SYS_C008480,AFJ_DETALLE,DAC1_ID,
SYSTEM,SYS_C008481,AFJ_DETALLE,FECHCREA,
SYSTEM,SYS_C008482,AFJ_DETALLE,USUACREA,
SYSTEM,DTBA_PK,ALM_DETABASC,DTBA_ID,1
SYSTEM,DTBA_PRFM_FK,ALM_DETABASC,PRFM_PRFM_ID,1
SYSTEM,DTBA_UMED_FK,ALM_DETABASC,UMED_UNIDMEDI,1
SYSTEM,SYS_C008647,ALM_DETABASC,FECHINGRE,
SYSTEM,SYS_C008648,ALM_DETABASC,PESOTARA,
SYSTEM,SYS_C008649,ALM_DETABASC,VALOPESO,
SYSTEM,SYS_C008650,ALM_DETABASC,DTBA_ID,
SYSTEM,SYS_C008651,ALM_DETABASC,FECHCREA,
SYSTEM,SYS_C008652,ALM_DETABASC,USUACREA,
SYSTEM,SYS_C008653,ALM_DETABASC,UMED_UNIDMEDI,
SYSTEM,SYS_C008654,ALM_DETABASC,PESOINGR,
SYSTEM,SYS_C008655,ALM_DETABASC,PESOSALE,
SYSTEM,DTPS_DSPO_FK,ALM_DETADESP,DSPO_NUMERO,1
SYSTEM,DTPS_EGEN_FK,ALM_DETADESP,EGEN_ESTADO,1
SYSTEM,DTPS_PK,ALM_DETADESP,DTPS_ID,1
SYSTEM,SYS_C008658,ALM_DETADESP,EGEN_ESTADO,
SYSTEM,SYS_C008659,ALM_DETADESP,DTPS_ID,
SYSTEM,SYS_C008660,ALM_DETADESP,IDCLIENTE,
SYSTEM,SYS_C008661,ALM_DETADESP,NOMBRE,
SYSTEM,SYS_C008662,ALM_DETADESP,COMPANIA,
SYSTEM,SYS_C008663,ALM_DETADESP,OFICINA,
SYSTEM,SYS_C008664,ALM_DETADESP,SERIE,
SYSTEM,SYS_C008665,ALM_DETADESP,FACTURA,
SYSTEM,SYS_C008666,ALM_DETADESP,TIPOCOM,
SYSTEM,SYS_C008667,ALM_DETADESP,FFACTURA,
SYSTEM,SYS_C008668,ALM_DETADESP,CSTOFLET,
SYSTEM,SYS_C008669,ALM_DETADESP,DESTINO,
SYSTEM,SYS_C008670,ALM_DETADESP,TIPODIRECCION,
SYSTEM,SYS_C008671,ALM_DETADESP,USUACREA,
SYSTEM,SYS_C008672,ALM_DETADESP,FECHCREA,
SYSTEM,SYS_C008673,ALM_DETADESP,DSPO_NUMERO,
SYSTEM,DTLT_DTMV_FK,ALM_DETALOTE,DTMV_DTMV_ID,1
SYSTEM,DTLT_LOTE_FK,ALM_DETALOTE,LOTE_COMPANIA,1
SYSTEM,DTLT_LOTE_FK,ALM_DETALOTE,LOTE_NUMELOTE,2
SYSTEM,DTLT_LOTE_FK,ALM_DETALOTE,LOTE_ALCANCE,3
SYSTEM,DTLT_PK,ALM_DETALOTE,DTLT_ID,1
SYSTEM,SYS_C008676,ALM_DETALOTE,DTLT_ID,
SYSTEM,SYS_C008677,ALM_DETALOTE,LOTE_COMPANIA,
SYSTEM,SYS_C008678,ALM_DETALOTE,LOTE_NUMELOTE,
SYSTEM,SYS_C008679,ALM_DETALOTE,DTMV_DTMV_ID,
SYSTEM,SYS_C008680,ALM_DETALOTE,FECHCREA,
SYSTEM,SYS_C008681,ALM_DETALOTE,USUACREA,
SYSTEM,SYS_C008682,ALM_DETALOTE,LOTE_ALCANCE,
SYSTEM,AVCON_1220130717_ENTRS_000,ALM_DETAMOVI,ENTRSALI,
SYSTEM,AVCON_1220130717_PROMO_001,ALM_DETAMOVI,PROMOCION,
SYSTEM,AVCON_1220130717_PRORA_001,ALM_DETAMOVI,PRORATEO,
SYSTEM,AVCON_1685311051_COMBO_001,ALM_DETAMOVI,COMBO,
SYSTEM,DTMV_DCAM_FK,ALM_DETAMOVI,DCAM_DCAM_ID,1
SYSTEM,DTMV_DREQ_FK,ALM_DETAMOVI,DREQ_DREQ_ID,1
SYSTEM,DTMV_DTMV_FK,ALM_DETAMOVI,DTMV_DTMV_ID,1
SYSTEM,DTMV_ENSA_FK,ALM_DETAMOVI,ENSA_COMPANIA,1
SYSTEM,DTMV_ENSA_FK,ALM_DETAMOVI,ENSA_OFICINA,2
SYSTEM,DTMV_ENSA_FK,ALM_DETAMOVI,ENSA_TIPODOCU,3
SYSTEM,DTMV_ENSA_FK,ALM_DETAMOVI,ENSA_NUMERO,4
SYSTEM,DTMV_IMPT_FK,ALM_DETAMOVI,IMPT_COMPANIA,1
SYSTEM,DTMV_IMPT_FK,ALM_DETAMOVI,IMPT_OFICINA,2
SYSTEM,DTMV_IMPT_FK,ALM_DETAMOVI,IMPT_NUMEIMPO,3
SYSTEM,DTMV_NCCL_FK,ALM_DETAMOVI,NCCL_COMPANIA,1
SYSTEM,DTMV_NCCL_FK,ALM_DETAMOVI,NCCL_OFICINA,2
SYSTEM,DTMV_NCCL_FK,ALM_DETAMOVI,NCCL_SERIE,3
SYSTEM,DTMV_NCCL_FK,ALM_DETAMOVI,NCCL_NUMERO,4
SYSTEM,DTMV_NCPR_FK,ALM_DETAMOVI,NCPR_COMPANIA,1
SYSTEM,DTMV_NCPR_FK,ALM_DETAMOVI,NCPR_CEDURUC,2
SYSTEM,DTMV_NCPR_FK,ALM_DETAMOVI,NCPR_SERIE,3
SYSTEM,DTMV_NCPR_FK,ALM_DETAMOVI,NCPR_NUMERO,4
SYSTEM,DTMV_NCPR_FK,ALM_DETAMOVI,NCPR_ALCANCE,5
SYSTEM,DTMV_PK,ALM_DETAMOVI,DTMV_ID,1
SYSTEM,DTMV_RCTA_FK,ALM_DETAMOVI,RCTA_RCTA_ID,1
SYSTEM,DTMV_SECC_FK,ALM_DETAMOVI,SECC_COMPANIA,1
SYSTEM,DTMV_SECC_FK,ALM_DETAMOVI,SECC_OFICINA,2
SYSTEM,DTMV_SECC_FK,ALM_DETAMOVI,SECC_CODIBODE,3
SYSTEM,DTMV_SECC_FK,ALM_DETAMOVI,SECC_CODISECC,4
SYSTEM,DTMV_UMED_FK,ALM_DETAMOVI,UMED_UNIDMEDI,1
SYSTEM,DTMV_UMED_FK2,ALM_DETAMOVI,UMED_UNIDMEDI_CAJA,1
SYSTEM,DTMV_VNTA_FK,ALM_DETAMOVI,VNTA_COMPANIA,1
SYSTEM,DTMV_VNTA_FK,ALM_DETAMOVI,VNTA_OFICINA,2
SYSTEM,DTMV_VNTA_FK,ALM_DETAMOVI,VNTA_SERIE,3
SYSTEM,DTMV_VNTA_FK,ALM_DETAMOVI,VNTA_NUMERO,4
SYSTEM,DTMV_VNTA_FK,ALM_DETAMOVI,VNTA_TIPOCOMP,5
SYSTEM,SYS_C008685,ALM_DETAMOVI,ENTRSALI,
SYSTEM,SYS_C008686,ALM_DETAMOVI,DTMV_ID,
SYSTEM,SYS_C008687,ALM_DETAMOVI,UMED_UNIDMEDI,
SYSTEM,SYS_C008688,ALM_DETAMOVI,VALOR,
SYSTEM,SYS_C008689,ALM_DETAMOVI,CANTIDAD,
