CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
SYSTEM,ADM_DETAUTOR,DTAU_AUTO_FK,1,AUTO_AUTO_ID,SYSTEM,ADM_AUTORIZA,AUTO_ID,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_AFRQ_FK,1,AFRQ_NUMERO,SYSTEM,AFJ_AFREQUIS,NUMERO,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_AFRQ_FK,2,AFRQ_ENTRSALE,SYSTEM,AFJ_AFREQUIS,ENTRSALE,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_INRN_FK,1,INRN_ID,SYSTEM,INF_RESPNODO,INRN_ID,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_MEMO_FK,1,MEMO_ID,SYSTEM,AFJ_MEMORAND,MEMO_ID,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_RCDP_FK,1,RCDP_COMPANIA,SYSTEM,CLI_RCCLDAPE,CLTE_COMPANIA,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_RCDP_FK,2,RCDP_IDCLIENTE,SYSTEM,CLI_RCCLDAPE,CLTE_IDCLIENTE,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_RCDP_FK,3,RCDP_IDRESCLI,SYSTEM,CLI_RCCLDAPE,IDRESCLI,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_STCT_FK,1,STCT_ID,SYSTEM,SRV_STCOTRRE,ID,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_UMED_FK,1,UMED_UNIDMEDI,SYSTEM,ALM_UNIDMEDI,UNIDMEDI,NO ACTION,ENABLED
SYSTEM,AFJ_DETALLE,DAC1_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,AFJ_DETALLE,DAC1_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,NO ACTION,ENABLED
SYSTEM,AFJ_DETALLE,DAC1_MEMO_FK,1,MEMO_MEMO_ID,SYSTEM,AFJ_MEMORAND,MEMO_ID,NO ACTION,ENABLED
SYSTEM,ALM_DETABASC,DTBA_PRFM_FK,1,PRFM_PRFM_ID,SYSTEM,VEN_PROFORMA,PRFM_ID,NO ACTION,ENABLED
SYSTEM,ALM_DETABASC,DTBA_UMED_FK,1,UMED_UNIDMEDI,SYSTEM,ALM_UNIDMEDI,UNIDMEDI,NO ACTION,ENABLED
SYSTEM,ALM_DETADESP,DTPS_DSPO_FK,1,DSPO_NUMERO,SYSTEM,ALM_DESPACHOS,NUMERO,NO ACTION,ENABLED
SYSTEM,ALM_DETADESP,DTPS_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,ALM_DETALOTE,DTLT_DTMV_FK,1,DTMV_DTMV_ID,SYSTEM,ALM_DETAMOVI,DTMV_ID,CASCADE,ENABLED
SYSTEM,ALM_DETALOTE,DTLT_LOTE_FK,1,LOTE_COMPANIA,SYSTEM,ALM_LOTE,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETALOTE,DTLT_LOTE_FK,2,LOTE_NUMELOTE,SYSTEM,ALM_LOTE,NUMELOTE,NO ACTION,ENABLED
SYSTEM,ALM_DETALOTE,DTLT_LOTE_FK,3,LOTE_ALCANCE,SYSTEM,ALM_LOTE,ALCANCE,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_DCAM_FK,1,DCAM_DCAM_ID,SYSTEM,ALM_DECAMPRES,DCAM_ID,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_DREQ_FK,1,DREQ_DREQ_ID,SYSTEM,ALM_DETAREQU,DREQ_ID,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_DTMV_FK,1,DTMV_DTMV_ID,SYSTEM,ALM_DETAMOVI,DTMV_ID,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_ENSA_FK,1,ENSA_COMPANIA,SYSTEM,ALM_ENTRASALI,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_ENSA_FK,2,ENSA_OFICINA,SYSTEM,ALM_ENTRASALI,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_ENSA_FK,3,ENSA_TIPODOCU,SYSTEM,ALM_ENTRASALI,TPDC_TIPODOCU,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_ENSA_FK,4,ENSA_NUMERO,SYSTEM,ALM_ENTRASALI,NUMERO,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_IMPT_FK,1,IMPT_COMPANIA,SYSTEM,IMP_IMPORTAC,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_IMPT_FK,2,IMPT_OFICINA,SYSTEM,IMP_IMPORTAC,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_IMPT_FK,3,IMPT_NUMEIMPO,SYSTEM,IMP_IMPORTAC,NUMEIMPO,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_NCCL_FK,1,NCCL_COMPANIA,SYSTEM,VEN_NOTACRED,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_NCCL_FK,2,NCCL_OFICINA,SYSTEM,VEN_NOTACRED,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_NCCL_FK,3,NCCL_SERIE,SYSTEM,VEN_NOTACRED,SERIE,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_NCCL_FK,4,NCCL_NUMERO,SYSTEM,VEN_NOTACRED,NUMERO,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_NCPR_FK,1,NCPR_COMPANIA,SYSTEM,COM_NOTACREDI,PROV_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_NCPR_FK,2,NCPR_CEDURUC,SYSTEM,COM_NOTACREDI,PROV_CEDURUC,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_NCPR_FK,3,NCPR_SERIE,SYSTEM,COM_NOTACREDI,SERIE,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_NCPR_FK,4,NCPR_NUMERO,SYSTEM,COM_NOTACREDI,NUMERO,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_NCPR_FK,5,NCPR_ALCANCE,SYSTEM,COM_NOTACREDI,ALCANCE,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_RCTA_FK,1,RCTA_RCTA_ID,SYSTEM,CST_RECETA,RCTA_ID,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_SECC_FK,1,SECC_COMPANIA,SYSTEM,ALM_SECCFISC,BDGA_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_SECC_FK,2,SECC_OFICINA,SYSTEM,ALM_SECCFISC,BDGA_OFICINA,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_SECC_FK,3,SECC_CODIBODE,SYSTEM,ALM_SECCFISC,BDGA_CODIBODE,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_SECC_FK,4,SECC_CODISECC,SYSTEM,ALM_SECCFISC,CODISECC,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_UMED_FK,1,UMED_UNIDMEDI,SYSTEM,ALM_UNIDMEDI,UNIDMEDI,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_UMED_FK2,1,UMED_UNIDMEDI_CAJA,SYSTEM,ALM_UNIDMEDI,UNIDMEDI,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_VNTA_FK,1,VNTA_COMPANIA,SYSTEM,VEN_VENTAS,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_VNTA_FK,2,VNTA_OFICINA,SYSTEM,VEN_VENTAS,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_VNTA_FK,3,VNTA_SERIE,SYSTEM,VEN_VENTAS,SERIE,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_VNTA_FK,4,VNTA_NUMERO,SYSTEM,VEN_VENTAS,NUMERO,NO ACTION,ENABLED
SYSTEM,ALM_DETAMOVI,DTMV_VNTA_FK,5,VNTA_TIPOCOMP,SYSTEM,VEN_VENTAS,TPCM_TIPOCOMP,NO ACTION,ENABLED
SYSTEM,ALM_DETAPLAN,DTPL_PLIM_FK,1,PLIM_CODIGO,SYSTEM,ALM_PLANIMPR,CODIGO,NO ACTION,ENABLED
SYSTEM,ALM_DETAPROY,DPRO_PRPD_FK,1,PRPD_PRPD_ID,SYSTEM,ALM_PROYPROD,PRPD_ID,NO ACTION,ENABLED
SYSTEM,ALM_DETAREQU,DREQ_REQU_FK,1,REQU_NUMERO,SYSTEM,ALM_REQUERIM,NUMERO,NO ACTION,ENABLED
SYSTEM,ALM_DETAREQU,DREQ_REQU_FK,2,REQU_COMPANIA,SYSTEM,ALM_REQUERIM,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETAREQU,DREQ_REQU_FK,3,REQU_OFICINA,SYSTEM,ALM_REQUERIM,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,ALM_DETAREQU,DREQ_REQU_FK,4,REQU_TIPODOCU,SYSTEM,ALM_REQUERIM,TPDC_TIPODOCU,NO ACTION,ENABLED
SYSTEM,ALM_DETAREQU,DREQ_SECC_FK,1,SECC_COMPANIA,SYSTEM,ALM_SECCFISC,BDGA_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETAREQU,DREQ_SECC_FK,2,SECC_OFICINA,SYSTEM,ALM_SECCFISC,BDGA_OFICINA,NO ACTION,ENABLED
SYSTEM,ALM_DETAREQU,DREQ_SECC_FK,3,SECC_CODIBODE,SYSTEM,ALM_SECCFISC,BDGA_CODIBODE,NO ACTION,ENABLED
SYSTEM,ALM_DETAREQU,DREQ_SECC_FK,4,SECC_CODISECC,SYSTEM,ALM_SECCFISC,CODISECC,NO ACTION,ENABLED
SYSTEM,ALM_DETARTLL,DATLL_TLLA_FK,1,TLLA_ID_TLLA,SYSTEM,ALM_TALLAS,ID_TLLA,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_ATFS_FK,1,ATFS_COMPANIA,SYSTEM,ALM_TOMAFISC,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_ATFS_FK,2,ATFS_OFICINA,SYSTEM,ALM_TOMAFISC,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_ATFS_FK,3,ATFS_NUMERO,SYSTEM,ALM_TOMAFISC,NUMERO,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_ATFS_FK,4,ATFS_TIPODOCU,SYSTEM,ALM_TOMAFISC,TPDC_TIPODOCU,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_ENSA_FK,1,ENSA_COMPANIA,SYSTEM,ALM_ENTRASALI,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_ENSA_FK,2,ENSA_OFICINA,SYSTEM,ALM_ENTRASALI,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_ENSA_FK,3,ENSA_TIPODOCU,SYSTEM,ALM_ENTRASALI,TPDC_TIPODOCU,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_ENSA_FK,4,ENSA_NUMERO,SYSTEM,ALM_ENTRASALI,NUMERO,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_SECC_FK,1,SECC_COMPANIA,SYSTEM,ALM_SECCFISC,BDGA_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_SECC_FK,2,SECC_OFICINA,SYSTEM,ALM_SECCFISC,BDGA_OFICINA,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_SECC_FK,3,SECC_CODIBODE,SYSTEM,ALM_SECCFISC,BDGA_CODIBODE,NO ACTION,ENABLED
SYSTEM,ALM_DETATOFI,ADTF_SECC_FK,4,SECC_CODISECC,SYSTEM,ALM_SECCFISC,CODISECC,NO ACTION,ENABLED
SYSTEM,ALM_PROYPROD,PRPD_BDGA_FK,1,BDGA_CODIBODE,SYSTEM,ALM_BODEGAS,CODIBODE,NO ACTION,ENABLED
SYSTEM,ALM_PROYPROD,PRPD_BDGA_FK,2,BDGA_OFCN_COMPANIA,SYSTEM,ALM_BODEGAS,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_PROYPROD,PRPD_BDGA_FK,3,BDGA_OFCN_OFICINA,SYSTEM,ALM_BODEGAS,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,ALM_TMPDETALOTE,TDLT_DPR_FK,1,DPR_DPR_ID,SYSTEM,VEN_DETAPROD,DPR_ID,NO ACTION,ENABLED
SYSTEM,ALM_TMPDETALOTE,TDLT_DXML_FK,1,DXML_DXML_ID,SYSTEM,ALM_TMPDETAMOVI,DXML_ID,NO ACTION,ENABLED
SYSTEM,ALM_TMPDETALOTE,TDLT_LOTE_FK,1,LOTE_COMPANIA,SYSTEM,ALM_LOTE,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ALM_TMPDETALOTE,TDLT_LOTE_FK,2,LOTE_NUMELOTE,SYSTEM,ALM_LOTE,NUMELOTE,NO ACTION,ENABLED
SYSTEM,ALM_TMPDETALOTE,TDLT_LOTE_FK,3,LOTE_ALCANCE,SYSTEM,ALM_LOTE,ALCANCE,NO ACTION,ENABLED
SYSTEM,ALM_TMPDETAMOVI,DXML_CXML_FK,1,CMPR_SERIE,SYSTEM,COM_TMPCOMPRAS,SERIE,NO ACTION,ENABLED
SYSTEM,ALM_TMPDETAMOVI,DXML_CXML_FK,2,CMPR_NUMERO,SYSTEM,COM_TMPCOMPRAS,NUMERO,NO ACTION,ENABLED
SYSTEM,ALM_TMPDETAMOVI,DXML_CXML_FK,3,CMPR_CEDURUC,SYSTEM,COM_TMPCOMPRAS,PROV_CEDURUC,NO ACTION,ENABLED
SYSTEM,ALM_TMPDETAMOVI,DXML_CXML_FK,4,CMPR_ALCANCE,SYSTEM,COM_TMPCOMPRAS,ALCANCE,NO ACTION,ENABLED
SYSTEM,ALM_TMPDETAMOVI,DXML_CXML_FK,5,CMPR_COMPANIA,SYSTEM,COM_TMPCOMPRAS,PROV_COMPANIA,NO ACTION,ENABLED
SYSTEM,CLI_DETALINE,DTLN_LNCR_FK,1,LNCR_COMPANIA,SYSTEM,CLI_LINECRED,CLTE_COMPANIA,NO ACTION,ENABLED
SYSTEM,CLI_DETALINE,DTLN_LNCR_FK,2,LNCR_IDCLIENTE,SYSTEM,CLI_LINECRED,CLTE_IDCLIENTE,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,CASCADE,DISABLED
SYSTEM,CNT_DETASIENTO,DAST_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,CASCADE,DISABLED
SYSTEM,CNT_DETASIENTO,DAST_CCST_FK,1,CCST_COMPANIA,SYSTEM,GEN_CENTCOST,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_CCST_FK,2,CCST_OFICINA,SYSTEM,GEN_CENTCOST,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_CCST_FK,3,CCST_CODIGO,SYSTEM,GEN_CENTCOST,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_CTAS_FK,1,CTAS_COMPANIA,SYSTEM,CNT_CUENTAS,CTLG_COMPANIA,NO ACTION,ENABLED
