OWNER,INDEX_NAME,TABLE_OWNER,TABLE_NAME,UNIQUENESS,INDEX_TYPE,STATUS
SYSTEM,DTAU_AUTO_FK_I,SYSTEM,ADM_DETAUTOR,NONUNIQUE,NORMAL,VALID
SYSTEM,DTAU_PK,SYSTEM,ADM_DETAUTOR,UNIQUE,NORMAL,VALID
SYSTEM,AFDM_AFIJ_FK_I,SYSTEM,AFJ_AFDETMOV,NONUNIQUE,NORMAL,VALID
SYSTEM,AFDM_AFRQ_FK_I,SYSTEM,AFJ_AFDETMOV,NONUNIQUE,NORMAL,VALID
SYSTEM,AFDM_INRN_FK_I,SYSTEM,AFJ_AFDETMOV,NONUNIQUE,NORMAL,VALID
SYSTEM,AFDM_MEMO_FK_I,SYSTEM,AFJ_AFDETMOV,NONUNIQUE,NORMAL,VALID
SYSTEM,AFDM_PK,SYSTEM,AFJ_AFDETMOV,UNIQUE,NORMAL,VALID
SYSTEM,AFDM_RCDP_FK_I,SYSTEM,AFJ_AFDETMOV,NONUNIQUE,NORMAL,VALID
SYSTEM,AFDM_RHHS_FK_I,SYSTEM,AFJ_AFDETMOV,NONUNIQUE,NORMAL,VALID
SYSTEM,AFDM_STCT_FK_I,SYSTEM,AFJ_AFDETMOV,NONUNIQUE,NORMAL,VALID
SYSTEM,AFDM_UMED_FK_I,SYSTEM,AFJ_AFDETMOV,NONUNIQUE,NORMAL,VALID
SYSTEM,DAC1_AFIJ_FK_I,SYSTEM,AFJ_DETALLE,NONUNIQUE,NORMAL,VALID
SYSTEM,DAC1_ASTO_FK_I,SYSTEM,AFJ_DETALLE,NONUNIQUE,NORMAL,VALID
SYSTEM,DAC1_MEMO_FK_I,SYSTEM,AFJ_DETALLE,NONUNIQUE,NORMAL,VALID
SYSTEM,DAC1_PK,SYSTEM,AFJ_DETALLE,UNIQUE,NORMAL,VALID
SYSTEM,DTBA_ORCP_FK_I,SYSTEM,ALM_DETABASC,NONUNIQUE,NORMAL,VALID
SYSTEM,DTBA_PK,SYSTEM,ALM_DETABASC,UNIQUE,NORMAL,VALID
