INDEX_OWNER,INDEX_NAME,TABLE_OWNER,TABLE_NAME,COLUMN_POSITION,COLUMN_NAME,DESCEND
SYSTEM,DTAU_AUTO_FK_I,SYSTEM,ADM_DETAUTOR,1,AUTO_AUTO_ID,ASC
SYSTEM,DTAU_PK,SYSTEM,ADM_DETAUTOR,1,DTAU_ID,ASC
SYSTEM,AFDM_AFIJ_FK_I,SYSTEM,AFJ_AFDETMOV,1,AFIJ_CLASE,ASC
SYSTEM,AFDM_AFIJ_FK_I,SYSTEM,AFJ_AFDETMOV,2,AFIJ_COMPANIA,ASC
SYSTEM,AFDM_AFIJ_FK_I,SYSTEM,AFJ_AFDETMOV,3,AFIJ_CODIGO,ASC
SYSTEM,AFDM_AFRQ_FK_I,SYSTEM,AFJ_AFDETMOV,1,AFRQ_NUMERO,ASC
SYSTEM,AFDM_INRN_FK_I,SYSTEM,AFJ_AFDETMOV,1,INRN_ID,ASC
SYSTEM,AFDM_MEMO_FK_I,SYSTEM,AFJ_AFDETMOV,1,MEMO_ID,ASC
SYSTEM,AFDM_PK,SYSTEM,AFJ_AFDETMOV,1,AFDM_ID,ASC
SYSTEM,AFDM_RCDP_FK_I,SYSTEM,AFJ_AFDETMOV,1,RCDP_COMPANIA,ASC
SYSTEM,AFDM_RCDP_FK_I,SYSTEM,AFJ_AFDETMOV,2,RCDP_IDCLIENTE,ASC
SYSTEM,AFDM_RCDP_FK_I,SYSTEM,AFJ_AFDETMOV,3,RCDP_IDRESCLI,ASC
SYSTEM,AFDM_RHHS_FK_I,SYSTEM,AFJ_AFDETMOV,1,RHHS_CEDURUC,ASC
SYSTEM,AFDM_STCT_FK_I,SYSTEM,AFJ_AFDETMOV,1,STCT_ID,ASC
SYSTEM,AFDM_UMED_FK_I,SYSTEM,AFJ_AFDETMOV,1,UMED_UNIDMEDI,ASC
SYSTEM,DAC1_AFIJ_FK_I,SYSTEM,AFJ_DETALLE,1,AFIJ_CLASE,ASC
SYSTEM,DAC1_AFIJ_FK_I,SYSTEM,AFJ_DETALLE,2,AFIJ_COMPANIA,ASC
SYSTEM,DAC1_AFIJ_FK_I,SYSTEM,AFJ_DETALLE,3,AFIJ_CODIGO,ASC
SYSTEM,DAC1_ASTO_FK_I,SYSTEM,AFJ_DETALLE,1,ASTO_COMPANIA,ASC
SYSTEM,DAC1_ASTO_FK_I,SYSTEM,AFJ_DETALLE,2,ASTO_NUMEDIAR,ASC
SYSTEM,DAC1_MEMO_FK_I,SYSTEM,AFJ_DETALLE,1,MEMO_MEMO_ID,ASC
SYSTEM,DAC1_PK,SYSTEM,AFJ_DETALLE,1,DAC1_ID,ASC
SYSTEM,DTBA_ORCP_FK_I,SYSTEM,ALM_DETABASC,1,ORCP_COMPANIA,ASC
SYSTEM,DTBA_ORCP_FK_I,SYSTEM,ALM_DETABASC,2,ORCP_OFICINA,ASC
SYSTEM,DTBA_ORCP_FK_I,SYSTEM,ALM_DETABASC,3,ORCP_NUMEORDE,ASC
SYSTEM,DTBA_PK,SYSTEM,ALM_DETABASC,1,DTBA_ID,ASC
SYSTEM,DTBA_PRFM_FK_I,SYSTEM,ALM_DETABASC,1,PRFM_PRFM_ID,ASC
SYSTEM,DTBA_UMED_FK_I,SYSTEM,ALM_DETABASC,1,UMED_UNIDMEDI,ASC
