OWNER,TABLE_NAME,COMMENTS
SYSTEM,ADM_DETAUTOR,
SYSTEM,AFJ_AFDETMOV,
SYSTEM,AFJ_DETALLE,
SYSTEM,ALM_DETABASC,
SYSTEM,ALM_DETADESP,
SYSTEM,ALM_DETALOTE,
SYSTEM,ALM_DETAMOVI,
SYSTEM,ALM_DETAMOVI_BK,
SYSTEM,ALM_DETAPLAN,
SYSTEM,ALM_DETAPROY,
SYSTEM,ALM_DETAREQU,
SYSTEM,ALM_DETARTLL,
SYSTEM,ALM_DETATOFI,
SYSTEM,ALM_PROYPROD,
SYSTEM,ALM_TMPDETALOTE,
SYSTEM,ALM_TMPDETAMOVI,
SYSTEM,AUX_CLIENTE,
SYSTEM,AUX_INVENTARIO,
SYSTEM,AUX_INVENTARIO_OB,
SYSTEM,AUX_SALDO_CLIENTE,
SYSTEM,AUX_VENTAS,
SYSTEM,AUX_VENTASFAMP,
SYSTEM,BAK_ALM_DETALOTEJUL2023,
SYSTEM,BAK_ALM_DETALOTE_2182023_951AM,
SYSTEM,BAK_ALM_DETAMOVI_16112022,
SYSTEM,BAK_ALM_DETAMOVI_2182023_951AM,
SYSTEM,BAK_ALM_TMPDETALOTE21082023,
SYSTEM,BAK_AUX_VENTASFAMP,
SYSTEM,CLI_ACTIVCLIEN,
SYSTEM,CLI_DETAINGEGR,
SYSTEM,CLI_DETALINE,
SYSTEM,CLI_DETAVISITA,
SYSTEM,CLIENTE_AUX,
SYSTEM,CLI_PROPICLIEN,
SYSTEM,CNT_DETASIENTO,
SYSTEM,CNT_DETIPIMP,
SYSTEM,COB_DETACHEQ,
SYSTEM,COB_DETACOBRO,
SYSTEM,COB_DETADEBI,
SYSTEM,COM_DETACOMP,
SYSTEM,COM_DETASOLI,
SYSTEM,COM_DETORDCP,
SYSTEM,COM_PLANPAGO,
SYSTEM,COM_TMPCOMPRAS,
SYSTEM,CST_DETARECT,
SYSTEM,CST_DETCENCS,
SYSTEM,CST_ORDEPROD,
SYSTEM,CST_PRODUCCN,
SYSTEM,CST_SIMUDETA,
SYSTEM,CST_VARIPROD,
SYSTEM,DWH_VENTAS,
SYSTEM,DWH_VENTAS_081124,
SYSTEM,ECL_DETAFORMU,
SYSTEM,ECT_DETADECLA,
SYSTEM,GEN_FORMPAGO,
SYSTEM,GEN_PERIPAGO,
SYSTEM,GEN_PRODUCTOS,
SYSTEM,GEN_TIPOPAGO,
SYSTEM,IMP_DENOTAPEDI,
SYSTEM,IMP_NOTAPEDI,
SYSTEM,INF_DETAEQUI,
SYSTEM,PAG_DETAPAGO,
SYSTEM,PRT_DETASIENTO,
SYSTEM,PRT_DETASOLI,
SYSTEM,PRT_DETIPCAU,
SYSTEM,PRT_SIMUDETA,
SYSTEM,RHH_DETAPRES,
SYSTEM,RHH_DETAVENC,
SYSTEM,RHH_PAGOVACA,
SYSTEM,RHH_PRODUCTOS,
SYSTEM,SEG_PRODUCTO,
SYSTEM,SEG_PRODUSUA,
SYSTEM,SRI_DETALOGF,
SYSTEM,SRI_LOGFACTU,
SYSTEM,SRV_INDETEOB,
SYSTEM,SRV_SEPRVDET,
SYSTEM,TLL_DETAORDEN,
SYSTEM,TLL_DETAREQUI,
SYSTEM,TLL_ORDENTRC,
SYSTEM,TLL_ORDETRAB,
SYSTEM,TMP_DETAREQU,
SYSTEM,VEN_DETAFACT,
SYSTEM,VEN_DETAFLET,
SYSTEM,VEN_DETAPROD,
SYSTEM,VEN_DETAPROF,
SYSTEM,VEN_DETARTPR,
SYSTEM,VEN_GRPOVENT,
SYSTEM,VEN_PLANPAGO,
SYSTEM,VEN_TMPRETDETA,
SYSTEM,VEN_VENTAS,
SYSTEM,VEN_VENTPERD,
