OWNER,TABLE_NAME,COLUMN_NAME,COMMENTS
SYSTEM,ADM_DETAUTOR,AUTO_AUTO_ID,
SYSTEM,ADM_DETAUTOR,DTAU_ID,
SYSTEM,ADM_DETAUTOR,FECHACTU,
SYSTEM,ADM_DETAUTOR,FECHCREA,
SYSTEM,ADM_DETAUTOR,USUACREA,
SYSTEM,ADM_DETAUTOR,USUACTUA,
SYSTEM,AFJ_AFDETMOV,AFDM_ID,
SYSTEM,AFJ_AFDETMOV,AFIJ_CLASE,
SYSTEM,AFJ_AFDETMOV,AFIJ_CODIGO,
SYSTEM,AFJ_AFDETMOV,AFIJ_COMPANIA,
SYSTEM,AFJ_AFDETMOV,AFRQ_ENTRSALE,
SYSTEM,AFJ_AFDETMOV,AFRQ_NUMERO,
SYSTEM,AFJ_AFDETMOV,CANTIDAD,
SYSTEM,AFJ_AFDETMOV,DESCRIPC,
SYSTEM,AFJ_AFDETMOV,ENTRSALE,
SYSTEM,AFJ_AFDETMOV,FECHACTU,
SYSTEM,AFJ_AFDETMOV,FECHCREA,
SYSTEM,AFJ_AFDETMOV,FECHHORA,
SYSTEM,AFJ_AFDETMOV,INRN_ID,
SYSTEM,AFJ_AFDETMOV,IPEQUIPO,
SYSTEM,AFJ_AFDETMOV,MACEQUIPO,
SYSTEM,AFJ_AFDETMOV,MEMO_ID,
SYSTEM,AFJ_AFDETMOV,RCDP_COMPANIA,
SYSTEM,AFJ_AFDETMOV,RCDP_IDCLIENTE,
SYSTEM,AFJ_AFDETMOV,RCDP_IDRESCLI,
SYSTEM,AFJ_AFDETMOV,RHHS_CEDURUC,
SYSTEM,AFJ_AFDETMOV,STCT_ID,
SYSTEM,AFJ_AFDETMOV,UMED_UNIDMEDI,
SYSTEM,AFJ_AFDETMOV,USUACLAV,
SYSTEM,AFJ_AFDETMOV,USUACREA,
SYSTEM,AFJ_AFDETMOV,USUACTUA,
SYSTEM,AFJ_AFDETMOV,VIGENTE,
SYSTEM,AFJ_DETALLE,AFIJ_CLASE,
SYSTEM,AFJ_DETALLE,AFIJ_CODIGO,
SYSTEM,AFJ_DETALLE,AFIJ_COMPANIA,
SYSTEM,AFJ_DETALLE,ASTO_COMPANIA,
SYSTEM,AFJ_DETALLE,ASTO_NUMEDIAR,
SYSTEM,AFJ_DETALLE,DAC1_ID,
SYSTEM,AFJ_DETALLE,FECHACTU,
SYSTEM,AFJ_DETALLE,FECHCREA,
SYSTEM,AFJ_DETALLE,MEMO_MEMO_ID,
