TABLE_NAME,COLUMN_COUNT,HAS_PK,HAS_FK,NUM_ROWS_STATS,LAST_ANALYZED
ADM_DETAUTOR,6,Y,Y,0,2026-03-31 19:13:17
AFJ_AFDETMOV,26,Y,Y,0,2026-03-31 19:13:18
AFJ_DETALLE,12,Y,Y,7,2026-03-31 19:13:23
ALM_DETABASC,19,Y,Y,0,2026-03-31 19:13:29
ALM_DETADESP,29,Y,Y,7415,2026-03-31 19:13:30
ALM_DETALOTE,21,Y,Y,55535,2026-03-31 19:13:31
ALM_DETAMOVI,89,Y,Y,77963,2026-03-31 19:13:35
ALM_DETAMOVI_BK,86,N,N,6615,2026-03-31 19:13:37
ALM_DETAPLAN,11,Y,Y,0,2026-03-31 19:13:38
ALM_DETAPROY,25,Y,Y,0,2026-03-31 19:13:38
ALM_DETAREQU,41,Y,Y,40,2026-03-31 19:13:38
ALM_DETARTLL,13,Y,Y,0,2026-03-31 19:13:39
ALM_DETATOFI,32,Y,Y,0,2026-03-31 19:13:39
ALM_PROYPROD,26,Y,Y,0,2026-03-31 19:13:46
ALM_TMPDETALOTE,12,Y,Y,12392,2026-03-31 19:13:48
ALM_TMPDETAMOVI,53,Y,Y,31121,2026-03-31 19:13:49
AUX_CLIENTE,26,N,N,1358,2026-03-31 19:13:55
AUX_INVENTARIO,16,N,N,957,2026-03-31 19:13:55
AUX_INVENTARIO_OB,15,N,N,130,2026-03-31 19:13:56
AUX_SALDO_CLIENTE,7,N,N,620,2026-03-31 19:13:57
AUX_VENTAS,5,N,N,0,2026-03-31 19:13:57
AUX_VENTASFAMP,21,N,N,33465,2026-03-31 19:13:58
BAK_ALM_DETALOTEJUL2023,10,N,N,17347,2026-03-31 19:13:58
BAK_ALM_DETALOTE_2182023_951AM,10,N,N,19022,2026-03-31 19:13:58
BAK_ALM_DETAMOVI_16112022,82,N,N,4733,2026-03-31 19:13:59
BAK_ALM_DETAMOVI_2182023_951AM,88,N,N,20365,2026-03-31 19:14:00
BAK_ALM_TMPDETALOTE21082023,12,N,N,4396,2026-03-31 19:14:01
BAK_AUX_VENTASFAMP,21,N,N,32188,2026-03-31 19:14:03
CLIENTE_AUX,3,N,N,1961,2026-03-31 19:14:13
CLI_ACTIVCLIEN,23,Y,N,0,2026-03-31 19:14:13
CLI_DETAINGEGR,6,Y,N,10,2026-03-31 19:14:17
CLI_DETALINE,8,Y,Y,0,2026-03-31 19:14:17
CLI_DETAVISITA,8,Y,N,0,2026-03-31 19:14:17
