SCHEMA_NAME,ACCOUNT_STATUS,ORACLE_MAINTAINED,TABLE_COUNT,VIEW_COUNT,SEQUENCE_COUNT,TRIGGER_COUNT
ANONYMOUS,LOCKED,Y,0,0,0,0
APPQOSSYS,LOCKED,Y,5,0,0,0
AUDSYS,LOCKED,Y,1,6,0,0
CTXSYS,LOCKED,Y,54,87,3,0
DBSFWUSER,LOCKED,Y,3,0,0,0
DBSNMP,LOCKED,Y,20,7,2,0
DGPDB_INT,LOCKED,Y,0,0,0,0
DIP,LOCKED,Y,0,0,0,0
DVF,LOCKED,Y,0,0,0,0
DVSYS,LOCKED,Y,44,122,22,0
GGSYS,LOCKED,Y,0,0,0,0
GSMADMIN_INTERNAL,LOCKED,Y,43,13,17,5
GSMCATUSER,LOCKED,Y,0,0,0,0
GSMUSER,LOCKED,Y,0,0,0,0
LBACSYS,LOCKED,Y,22,77,3,3
MDDATA,LOCKED,Y,0,0,0,0
MDSYS,LOCKED,Y,148,101,18,84
OJVMSYS,LOCKED,Y,6,0,2,0
OLAPSYS,LOCKED,Y,2,18,1,0
ORACLE_OCM,LOCKED,Y,0,0,0,0
ORDDATA,LOCKED,Y,90,25,13,0
ORDPLUGINS,LOCKED,Y,0,0,0,0
ORDSYS,LOCKED,Y,4,5,0,0
OUTLN,LOCKED,Y,3,0,0,0
PDBADMIN,OPEN,N,0,0,0,0
REMOTE_SCHEDULER_AGENT,LOCKED,Y,0,0,0,0
SI_INFORMTN_SCHEMA,LOCKED,Y,0,0,0,0
SYS,OPEN,Y,1696,7003,184,5
SYSBACKUP,LOCKED,Y,0,0,0,0
SYSDG,LOCKED,Y,0,0,0,0
SYSKM,LOCKED,Y,0,0,0,0
SYSRAC,OPEN,Y,0,0,0,0
SYSTEM,OPEN,Y,134,10,7,0
SYS$UMF,LOCKED,Y,0,0,0,0
WMSYS,LOCKED,Y,38,147,6,45
XDB,LOCKED,Y,35,7,5,7
XS$NULL,LOCKED,Y,0,0,0,0
