OWNER,CONSTRAINT_NAME,CONSTRAINT_TYPE,TABLE_NAME,STATUS,VALIDATED,DEFERRABLE,DEFERRED,R_OWNER,R_CONSTRAINT_NAME,DELETE_RULE,BAD,INVALID,GENERATED,SEARCH_CONDITION_VC
AUDSYS,SYS_C005872,C,AUD$UNIFIED,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""ENTRY_ID"" IS NOT NULL"
AUDSYS,SYS_C005873,C,AUD$UNIFIED,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""STATEMENT_ID"" IS NOT NULL"
AUDSYS,SYS_C005874,C,AUD$UNIFIED,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""EVENT_TIMESTAMP"" IS NOT NULL"
AUDSYS,SYS_C005875,C,AUD$UNIFIED,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""ACTION"" IS NOT NULL"
AUDSYS,SYS_C005876,C,AUD$UNIFIED,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""RETURN_CODE"" IS NOT NULL"
CTXSYS,DRC$AUTOOPT_UN,U,DR$AUTOOPT,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
CTXSYS,DRC$CLA_KEY,P,DR$CLASS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
CTXSYS,SYS_IOT_TOP_64705,P,DR$DBO,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,
CTXSYS,DRC$DEL_KEY,P,DR$DELETE,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
CTXSYS,SYS_C007001,P,DR$DICTIONARY,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,
