CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
CTXSYS,DR$THS_BT,SYS_C006945,1,THB_THP_ID,CTXSYS,DR$THS_PHRASE,THP_ID,CASCADE,ENABLED
CTXSYS,DR$THS_BT,SYS_C006946,1,THB_BT,CTXSYS,DR$THS_PHRASE,THP_ID,CASCADE,ENABLED
CTXSYS,DR$THS_FPHRASE,SYS_C006943,1,THF_THP_ID,CTXSYS,DR$THS_PHRASE,THP_ID,CASCADE,ENABLED
CTXSYS,DR$THS_PHRASE,SYS_C006939,1,THP_THSID,CTXSYS,DR$THS,THS_ID,CASCADE,ENABLED
DBSNMP,BSLN_STATISTICS,BSLN_STATISTICS_FK,1,BSLN_GUID,DBSNMP,BSLN_BASELINES,BSLN_GUID,CASCADE,ENABLED
DBSNMP,BSLN_THRESHOLD_PARAMS,BSLN_THRESHOLDS_FK,1,BSLN_GUID,DBSNMP,BSLN_BASELINES,BSLN_GUID,CASCADE,ENABLED
DVSYS,COMMAND_RULE$,COMMAND_RULE$_FK,1,RULE_SET_ID#,DVSYS,RULE_SET$,ID#,NO ACTION,ENABLED
DVSYS,COMMAND_RULE$,COMMAND_RULE$_FK1,1,CODE_ID#,DVSYS,CODE$,ID#,NO ACTION,ENABLED
DVSYS,FACTOR$,FACTOR$_FK,1,FACTOR_TYPE_ID#,DVSYS,FACTOR_TYPE$,ID#,NO ACTION,ENABLED
DVSYS,FACTOR$,FACTOR$_FK1,1,ASSIGN_RULE_SET_ID#,DVSYS,RULE_SET$,ID#,NO ACTION,ENABLED
DVSYS,FACTOR_LINK$,FACTOR_LINK$_FK,1,PARENT_FACTOR_ID#,DVSYS,FACTOR$,ID#,NO ACTION,ENABLED
DVSYS,FACTOR_LINK$,FACTOR_LINK$_FK1,1,CHILD_FACTOR_ID#,DVSYS,FACTOR$,ID#,NO ACTION,ENABLED
DVSYS,IDENTITY$,IDENTITY$_FK,1,FACTOR_ID#,DVSYS,FACTOR$,ID#,NO ACTION,ENABLED
DVSYS,IDENTITY_MAP$,IDENTITY_MAP$_FK,1,IDENTITY_ID#,DVSYS,IDENTITY$,ID#,NO ACTION,ENABLED
DVSYS,IDENTITY_MAP$,IDENTITY_MAP$_FK1,1,FACTOR_LINK_ID#,DVSYS,FACTOR_LINK$,ID#,NO ACTION,ENABLED
DVSYS,IDENTITY_MAP$,IDENTITY_MAP$_FK2,1,OPERATION_CODE_ID#,DVSYS,CODE$,ID#,NO ACTION,ENABLED
DVSYS,MAC_POLICY$,MAC_POLICY$_FK1,1,ALGORITHM_CODE_ID#,DVSYS,CODE$,ID#,NO ACTION,ENABLED
DVSYS,MAC_POLICY_FACTOR$,MAC_POLICY_FACTOR$_FK,1,FACTOR_ID#,DVSYS,FACTOR$,ID#,NO ACTION,ENABLED
DVSYS,MAC_POLICY_FACTOR$,MAC_POLICY_FACTOR$_FK1,1,MAC_POLICY_ID#,DVSYS,MAC_POLICY$,ID#,NO ACTION,ENABLED
DVSYS,POLICY_LABEL$,IDENTITY_LABEL$_FK,1,IDENTITY_ID#,DVSYS,IDENTITY$,ID#,NO ACTION,ENABLED
DVSYS,POLICY_OBJECT$,POLICY_OBJECT$_FK,1,POLICY_ID#,DVSYS,POLICY$,ID#,NO ACTION,ENABLED
DVSYS,POLICY_OWNER$,POLICY_OWNER$_FK,1,POLICY_ID#,DVSYS,POLICY$,ID#,NO ACTION,ENABLED
DVSYS,REALM_AUTH$,REALM_AUTH$_FK,1,REALM_ID#,DVSYS,REALM$,ID#,NO ACTION,ENABLED
DVSYS,REALM_AUTH$,REALM_AUTH$_FK1,1,AUTH_RULE_SET_ID#,DVSYS,RULE_SET$,ID#,NO ACTION,ENABLED
DVSYS,REALM_OBJECT$,REALM_OBJECT$_FK,1,REALM_ID#,DVSYS,REALM$,ID#,NO ACTION,ENABLED
DVSYS,ROLE$,ROLE$_FK,1,RULE_SET_ID#,DVSYS,RULE_SET$,ID#,NO ACTION,ENABLED
DVSYS,RULE_SET_RULE$,RULE_SET_RULE$_FK,1,RULE_SET_ID#,DVSYS,RULE_SET$,ID#,NO ACTION,ENABLED
DVSYS,RULE_SET_RULE$,RULE_SET_RULE$_FK1,1,RULE_ID#,DVSYS,RULE$,ID#,NO ACTION,ENABLED
