OWNER,TABLE_NAME,TABLESPACE_NAME,NUM_ROWS,BLOCKS,PARTITIONED,TEMPORARY,IOT_TYPE,LAST_ANALYZED
APPQOSSYS,WLM_CLASSIFIER_PLAN,SYSAUX,0,0,NO,N,,2021-09-28 06:17:29
APPQOSSYS,WLM_FEATURE_USAGE,SYSAUX,0,0,NO,N,,2021-09-28 06:17:30
APPQOSSYS,WLM_METRICS_STREAM,SYSAUX,0,0,NO,N,,2021-09-28 06:17:30
APPQOSSYS,WLM_MPA_STREAM,SYSAUX,0,0,NO,N,,2021-09-28 06:17:30
APPQOSSYS,WLM_VIOLATION_STREAM,SYSAUX,0,0,NO,N,,2021-09-28 06:17:30
AUDSYS,AUD$UNIFIED,,0,0,YES,N,,2021-09-28 06:17:31
CTXSYS,DR$ACTIVELOGS,SYSAUX,0,0,NO,N,,2021-09-28 07:01:39
CTXSYS,DR$AUTOOPT,SYSAUX,0,0,NO,N,,2021-09-28 07:01:39
CTXSYS,DR$CLASS,SYSAUX,13,5,NO,N,,2021-09-28 07:01:39
CTXSYS,DR$DBO,,402,,NO,N,IOT,2021-09-28 07:01:39
CTXSYS,DR$DELETE,,0,,NO,N,IOT,2021-09-28 07:01:39
CTXSYS,DR$DICTIONARY,SYSAUX,0,0,NO,N,,2021-09-28 07:01:39
CTXSYS,DR$FEATURE_USED,SYSAUX,0,0,NO,N,,2021-09-28 07:01:40
CTXSYS,DR$FREQTOKS,SYSAUX,0,0,NO,N,,2021-09-28 07:01:40
CTXSYS,DR$IDX_DICTIONARIES,SYSAUX,0,0,NO,N,,2021-09-28 07:01:40
CTXSYS,DR$INDEX,SYSAUX,3,5,NO,N,,2021-09-28 07:01:40
CTXSYS,DR$INDEX_CDI_COLUMN,,0,,NO,N,IOT,2021-09-28 07:01:40
CTXSYS,DR$INDEX_ERROR,SYSAUX,0,0,NO,N,,2021-09-28 07:01:40
CTXSYS,DR$INDEX_OBJECT,,27,,NO,N,IOT,2021-09-28 07:01:40
CTXSYS,DR$INDEX_PARTITION,SYSAUX,0,0,NO,N,,2021-09-28 07:01:40
CTXSYS,DR$INDEX_SET,SYSAUX,1,5,NO,N,,2021-09-28 07:01:40
CTXSYS,DR$INDEX_SET_INDEX,SYSAUX,0,0,NO,N,,2021-09-28 07:01:40
CTXSYS,DR$INDEX_VALUE,SYSAUX,6,5,NO,N,,2021-09-28 07:01:40
CTXSYS,DR$NUMBER_SEQUENCE,SYSAUX,2048,5,NO,N,,2021-09-28 07:01:41
CTXSYS,DR$NVTAB,SYSAUX,0,0,NO,N,,2021-09-28 07:01:41
CTXSYS,DR$OBJECT,SYSAUX,56,5,NO,N,,2021-09-28 07:01:41
CTXSYS,DR$OBJECT_ATTRIBUTE,SYSAUX,502,13,NO,N,,2021-09-28 07:01:41
CTXSYS,DR$OBJECT_ATTRIBUTE_LOV,SYSAUX,172,5,NO,N,,2021-09-28 07:01:41
CTXSYS,DR$ONLINE_PENDING,,0,,NO,N,IOT,2021-09-28 07:01:41
CTXSYS,DR$PARALLEL,,0,,NO,N,IOT,2021-09-28 07:01:41
CTXSYS,DR$PARAMETER,,33,,NO,N,IOT,2021-09-28 07:01:41
CTXSYS,DR$PENDING,,0,,NO,N,IOT,2021-09-28 07:01:41
CTXSYS,DR$POLICY_TAB,SYSAUX,0,0,NO,N,,2021-09-28 07:01:41
CTXSYS,DR$PREFERENCE,SYSAUX,47,5,NO,N,,2021-09-28 07:01:41
CTXSYS,DR$PREFERENCE_VALUE,SYSAUX,52,5,NO,N,,2021-09-28 07:01:42
CTXSYS,DR$SDATA_UPDATE,,0,,NO,N,IOT,2021-09-28 07:01:42
CTXSYS,DR$SECTION,SYSAUX,6,5,NO,N,,2021-09-28 07:01:42
