OWNER,CONSTRAINT_NAME,TABLE_NAME,COLUMN_NAME,POSITION
AUDSYS,SYS_C005872,AUD$UNIFIED,ENTRY_ID,
AUDSYS,SYS_C005873,AUD$UNIFIED,STATEMENT_ID,
AUDSYS,SYS_C005874,AUD$UNIFIED,EVENT_TIMESTAMP,
AUDSYS,SYS_C005875,AUD$UNIFIED,ACTION,
AUDSYS,SYS_C005876,AUD$UNIFIED,RETURN_CODE,
CTXSYS,DRC$AUTOOPT_UN,DR$AUTOOPT,AOI_IDXID,1
CTXSYS,DRC$AUTOOPT_UN,DR$AUTOOPT,AOI_PARTID,2
CTXSYS,DRC$AUTOOPT_UN,DR$AUTOOPT,AOI_OWNID,3
CTXSYS,DRC$CLA_KEY,DR$CLASS,CLA_ID,1
CTXSYS,SYS_IOT_TOP_64705,DR$DBO,DBO_NAME,1
CTXSYS,SYS_IOT_TOP_64705,DR$DBO,DBO_TYPE,2
CTXSYS,DRC$DEL_KEY,DR$DELETE,DEL_IDX_ID,1
CTXSYS,DRC$DEL_KEY,DR$DELETE,DEL_IXP_ID,2
CTXSYS,DRC$DEL_KEY,DR$DELETE,DEL_DOCID,3
CTXSYS,SYS_C007001,DR$DICTIONARY,DICT_OWNER#,1
CTXSYS,SYS_C007001,DR$DICTIONARY,DICT_NAME,2
CTXSYS,SYS_C007001,DR$DICTIONARY,DICT_LANG,3
CTXSYS,DR$FEAT_KEY,DR$FEATURE_USED,FEATURE_NAME,1
CTXSYS,DR$FEAT_KEY,DR$FEATURE_USED,FEATURE_TYPE,2
CTXSYS,SYS_C007002,DR$IDX_DICTIONARIES,IDX_ID,1
CTXSYS,SYS_C007002,DR$IDX_DICTIONARIES,DICT_LANG,2
CTXSYS,DRC$IDX_COLSPEC,DR$INDEX,IDX_OWNER#,1
CTXSYS,DRC$IDX_COLSPEC,DR$INDEX,IDX_NAME,2
CTXSYS,DRC$IDX_KEY,DR$INDEX,IDX_ID,1
CTXSYS,SYS_C006908,DR$INDEX,IDX_ID,
CTXSYS,SYS_C006909,DR$INDEX,IDX_OWNER#,
CTXSYS,SYS_C006910,DR$INDEX,IDX_NAME,
CTXSYS,SYS_C006911,DR$INDEX,IDX_TABLE_OWNER#,
CTXSYS,SYS_C006912,DR$INDEX,IDX_TABLE#,
CTXSYS,SYS_C006913,DR$INDEX,IDX_TEXT_NAME,
CTXSYS,SYS_C006914,DR$INDEX,IDX_TEXT_TYPE,
CTXSYS,SYS_C006915,DR$INDEX,IDX_STATUS,
CTXSYS,SYS_C006916,DR$INDEX,IDX_TYPE,
CTXSYS,SYS_IOT_TOP_64717,DR$INDEX_CDI_COLUMN,CDI_IDX_ID,1
CTXSYS,SYS_IOT_TOP_64717,DR$INDEX_CDI_COLUMN,CDI_COLUMN_POSITION,2
CTXSYS,SYS_IOT_TOP_64717,DR$INDEX_CDI_COLUMN,CDI_COLUMN_NAME,3
