OWNER,INDEX_NAME,TABLE_OWNER,TABLE_NAME,UNIQUENESS,INDEX_TYPE,STATUS,PARTITIONED,TEMPORARY,VISIBILITY
AUDSYS,SYS_IL0000019825C00030$$,AUDSYS,AUD$UNIFIED,UNIQUE,LOB,N/A,YES,N,VISIBLE
AUDSYS,SYS_IL0000019825C00031$$,AUDSYS,AUD$UNIFIED,UNIQUE,LOB,N/A,YES,N,VISIBLE
AUDSYS,SYS_IL0000019825C00097$$,AUDSYS,AUD$UNIFIED,UNIQUE,LOB,N/A,YES,N,VISIBLE
CTXSYS,DRC$AUTOOPT_UN,CTXSYS,DR$AUTOOPT,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$CLA_KEY,CTXSYS,DR$CLASS,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_IOT_TOP_64705,CTXSYS,DR$DBO,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,DRC$DEL_KEY,CTXSYS,DR$DELETE,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,SYS_C007001,CTXSYS,DR$DICTIONARY,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_IL0000064743C00004$$,CTXSYS,DR$DICTIONARY,UNIQUE,LOB,VALID,NO,N,VISIBLE
CTXSYS,DR$FEAT_KEY,CTXSYS,DR$FEATURE_USED,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,IDX1_DR$FREQTOKS,CTXSYS,DR$FREQTOKS,NONUNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,IDX2_DR$FREQTOKS,CTXSYS,DR$FREQTOKS,NONUNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_C007002,CTXSYS,DR$IDX_DICTIONARIES,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_IL0000064747C00003$$,CTXSYS,DR$IDX_DICTIONARIES,UNIQUE,LOB,VALID,NO,N,VISIBLE
CTXSYS,DRC$IDX_COLSPEC,CTXSYS,DR$INDEX,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$IDX_COLUMN,CTXSYS,DR$INDEX,NONUNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$IDX_KEY,CTXSYS,DR$INDEX,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_IOT_TOP_64717,CTXSYS,DR$INDEX_CDI_COLUMN,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,DRC$IXO_KEY,CTXSYS,DR$INDEX_OBJECT,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,DRC$IXP_KEY,CTXSYS,DR$INDEX_PARTITION,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRX$IXP_NAME,CTXSYS,DR$INDEX_PARTITION,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$IXS_KEY,CTXSYS,DR$INDEX_SET,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$IXS_NAME,CTXSYS,DR$INDEX_SET,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$IXX_KEY,CTXSYS,DR$INDEX_SET_INDEX,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRX$IXV_KEY,CTXSYS,DR$INDEX_VALUE,NONUNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_C006990,CTXSYS,DR$NVTAB,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_IL0000064713C00002$$,CTXSYS,DR$NVTAB,UNIQUE,LOB,VALID,NO,N,VISIBLE
CTXSYS,DRC$OBJ_KEY,CTXSYS,DR$OBJECT,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$OBJ_NAME,CTXSYS,DR$OBJECT,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$OAT_KEY,CTXSYS,DR$OBJECT_ATTRIBUTE,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$OAT_NAME,CTXSYS,DR$OBJECT_ATTRIBUTE,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRX$OAL_ID,CTXSYS,DR$OBJECT_ATTRIBUTE_LOV,NONUNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_IOT_TOP_64692,CTXSYS,DR$ONLINE_PENDING,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,SYS_IOT_TOP_64699,CTXSYS,DR$PARALLEL,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,SYS_IOT_TOP_64618,CTXSYS,DR$PARAMETER,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,SYS_IOT_TOP_64688,CTXSYS,DR$PENDING,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,DRC$PRE_KEY,CTXSYS,DR$PREFERENCE,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$PRE_NAME,CTXSYS,DR$PREFERENCE,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$PRV_KEY,CTXSYS,DR$PREFERENCE_VALUE,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$SDU_KEY,CTXSYS,DR$SDATA_UPDATE,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,DRC$SEC_KEY,CTXSYS,DR$SECTION,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRX$SEC_NAME,CTXSYS,DR$SECTION,NONUNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRX$SEC_TAG,CTXSYS,DR$SECTION,NONUNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_IOT_TOP_64673,CTXSYS,DR$SECTION_ATTRIBUTE,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,DRC$SGP_KEY,CTXSYS,DR$SECTION_GROUP,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$SGP_UNIQE,CTXSYS,DR$SECTION_GROUP,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRC$SGA_UNIQE,CTXSYS,DR$SECTION_GROUP_ATTRIBUTE,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,IDX1_DR$SLOWQRYS,CTXSYS,DR$SLOWQRYS,NONUNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_IL0000064647C00003$$,CTXSYS,DR$SQE,UNIQUE,LOB,VALID,NO,N,VISIBLE
CTXSYS,SYS_IOT_TOP_64647,CTXSYS,DR$SQE,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,SYS_C006988,CTXSYS,DR$STATS,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DR_STOPLIST_PK,CTXSYS,DR$STOPLIST,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DR_STOPLIST_UNIQ,CTXSYS,DR$STOPLIST,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_IOT_TOP_64678,CTXSYS,DR$STOPWORD,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,DRC$SLX_KEY,CTXSYS,DR$SUB_LEXER,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DRX$SLX_SUB_PRE_ID,CTXSYS,DR$SUB_LEXER,NONUNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_C006935,CTXSYS,DR$THS,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_C006936,CTXSYS,DR$THS,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DR_THS_BT,CTXSYS,DR$THS_BT,NONUNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DR_UNIQ_THS_BT,CTXSYS,DR$THS_BT,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_IOT_TOP_64659,CTXSYS,DR$THS_FPHRASE,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,DR_THS_RINGID,CTXSYS,DR$THS_PHRASE,NONUNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,DR_UNIQ_THS_PHRASE,CTXSYS,DR$THS_PHRASE,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_C006938,CTXSYS,DR$THS_PHRASE,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
CTXSYS,SYS_IOT_TOP_64739,CTXSYS,DR$TREE,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,DRC$UNX_KEY,CTXSYS,DR$UNINDEXED,UNIQUE,IOT - TOP,VALID,NO,N,VISIBLE
CTXSYS,SYS_C006998,CTXSYS,DR$USER_EXTRACT_ENTDICT,UNIQUE,NORMAL,VALID,NO,N,VISIBLE
