INDEX_OWNER,INDEX_NAME,TABLE_OWNER,TABLE_NAME,COLUMN_POSITION,COLUMN_NAME,DESCEND
CTXSYS,DRC$AUTOOPT_UN,CTXSYS,DR$AUTOOPT,1,AOI_IDXID,ASC
CTXSYS,DRC$AUTOOPT_UN,CTXSYS,DR$AUTOOPT,2,AOI_PARTID,ASC
CTXSYS,DRC$AUTOOPT_UN,CTXSYS,DR$AUTOOPT,3,AOI_OWNID,ASC
CTXSYS,DRC$CLA_KEY,CTXSYS,DR$CLASS,1,CLA_ID,ASC
CTXSYS,DRC$DEL_KEY,CTXSYS,DR$DELETE,1,DEL_IDX_ID,ASC
CTXSYS,DRC$DEL_KEY,CTXSYS,DR$DELETE,2,DEL_IXP_ID,ASC
CTXSYS,DRC$DEL_KEY,CTXSYS,DR$DELETE,3,DEL_DOCID,ASC
CTXSYS,DRC$IDX_COLSPEC,CTXSYS,DR$INDEX,1,IDX_OWNER#,ASC
CTXSYS,DRC$IDX_COLSPEC,CTXSYS,DR$INDEX,2,IDX_NAME,ASC
CTXSYS,DRC$IDX_COLUMN,CTXSYS,DR$INDEX,1,IDX_TABLE#,ASC
CTXSYS,DRC$IDX_COLUMN,CTXSYS,DR$INDEX,2,IDX_TEXT_NAME,ASC
CTXSYS,DRC$IDX_KEY,CTXSYS,DR$INDEX,1,IDX_ID,ASC
CTXSYS,DRC$IXO_KEY,CTXSYS,DR$INDEX_OBJECT,1,IXO_IDX_ID,ASC
CTXSYS,DRC$IXO_KEY,CTXSYS,DR$INDEX_OBJECT,2,IXO_CLA_ID,ASC
CTXSYS,DRC$IXP_KEY,CTXSYS,DR$INDEX_PARTITION,1,IXP_IDX_ID,ASC
CTXSYS,DRC$IXP_KEY,CTXSYS,DR$INDEX_PARTITION,2,IXP_ID,ASC
CTXSYS,DRC$IXS_KEY,CTXSYS,DR$INDEX_SET,1,IXS_ID,ASC
CTXSYS,DRC$IXS_NAME,CTXSYS,DR$INDEX_SET,1,IXS_NAME,ASC
CTXSYS,DRC$IXS_NAME,CTXSYS,DR$INDEX_SET,2,IXS_OWNER#,ASC
CTXSYS,DRC$IXX_KEY,CTXSYS,DR$INDEX_SET_INDEX,1,IXX_IXS_ID,ASC
CTXSYS,DRC$IXX_KEY,CTXSYS,DR$INDEX_SET_INDEX,2,IXX_COLLIST,ASC
CTXSYS,DRC$OAT_KEY,CTXSYS,DR$OBJECT_ATTRIBUTE,1,OAT_ID,ASC
CTXSYS,DRC$OAT_NAME,CTXSYS,DR$OBJECT_ATTRIBUTE,1,OAT_CLA_ID,ASC
CTXSYS,DRC$OAT_NAME,CTXSYS,DR$OBJECT_ATTRIBUTE,2,OAT_OBJ_ID,ASC
CTXSYS,DRC$OAT_NAME,CTXSYS,DR$OBJECT_ATTRIBUTE,3,OAT_NAME,ASC
