OWNER,VIEW_NAME,READ_ONLY,TEXT_LENGTH
AUDSYS,CDB_UNIFIED_AUDIT_TRAIL,N,2291
AUDSYS,CDB_XS_AUDIT_TRAIL,N,590
AUDSYS,DBA_XS_AUDIT_TRAIL,N,1079
AUDSYS,DV$CONFIGURATION_AUDIT,N,540
AUDSYS,DV$ENFORCEMENT_AUDIT,N,540
AUDSYS,UNIFIED_AUDIT_TRAIL,N,8428
CTXSYS,CTX_ALEXER_DICTS,N,215
CTXSYS,CTX_AUTO_OPTIMIZE_INDEXES,N,127
CTXSYS,CTX_AUTO_OPTIMIZE_STATUS,N,291
CTXSYS,CTX_AUTOSYNC_JOBS,N,1383
CTXSYS,CTX_AUTOSYNC_STATUS,N,359
CTXSYS,CTX_CLASSES,N,101
CTXSYS,CTX_EXTRACT_POLICIES,N,158
CTXSYS,CTX_EXTRACT_POLICY_VALUES,N,792
CTXSYS,CTX_FILTER_BY_COLUMNS,N,570
CTXSYS,CTX_FILTER_CACHE_STATISTICS,N,768
CTXSYS,CTX_INDEX_ERRORS,N,241
CTXSYS,CTX_INDEXES,N,1213
CTXSYS,CTX_INDEX_OBJECTS,N,352
CTXSYS,CTX_INDEX_PARTITIONS,N,998
CTXSYS,CTX_INDEX_SECTIONS,N,1389
CTXSYS,CTX_INDEX_SET_INDEXES,N,231
CTXSYS,CTX_INDEX_SETS,N,109
CTXSYS,CTX_INDEX_SUB_LEXERS,N,532
CTXSYS,CTX_INDEX_SUB_LEXER_VALUES,N,893
CTXSYS,CTX_INDEX_VALUES,N,723
CTXSYS,CTX_OBJECT_ATTRIBUTE_LOV,N,479
CTXSYS,CTX_OBJECT_ATTRIBUTES,N,749
CTXSYS,CTX_OBJECTS,N,200
CTXSYS,CTX_ORDER_BY_COLUMNS,N,656
CTXSYS,CTX_PARAMETERS,N,49
CTXSYS,CTX_PENDING,N,697
CTXSYS,CTX_PREFERENCES,N,378
CTXSYS,CTX_PREFERENCE_VALUES,N,522
CTXSYS,CTX_SECTION_GROUPS,N,267
CTXSYS,CTX_SECTIONS,N,747
CTXSYS,CTX_SQES,N,128
CTXSYS,CTX_STOPLISTS,N,294
CTXSYS,CTX_STOPWORDS,N,434
CTXSYS,CTX_SUB_LEXERS,N,526
CTXSYS,CTX_THESAURI,N,102
CTXSYS,CTX_THES_PHRASES,N,254
CTXSYS,CTX_TRACE_VALUES,N,79
