OWNER,TRIGGER_NAME,TABLE_OWNER,TABLE_NAME,BASE_OBJECT_TYPE,TRIGGER_TYPE,TRIGGERING_EVENT,STATUS
GSMADMIN_INTERNAL,CAT_ROLLBACK_TRIGGER,GSMADMIN_INTERNAL,GSM_REQUESTS,TABLE,AFTER EACH ROW,UPDATE,ENABLED
GSMADMIN_INTERNAL,DONE_TRIGGER,GSMADMIN_INTERNAL,GSM_REQUESTS,TABLE,AFTER EACH ROW,UPDATE,ENABLED
GSMADMIN_INTERNAL,REQUEST_DELETE_TRIGGER,GSMADMIN_INTERNAL,GSM_REQUESTS,TABLE,AFTER EACH ROW,DELETE,ENABLED
GSMADMIN_INTERNAL,VNCR_INSERT,GSMADMIN_INTERNAL,VNCR,TABLE,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
GSMADMIN_INTERNAL,GSMLOGOFF,GSMCATUSER,,SCHEMA,BEFORE EVENT,LOGOFF,ENABLED
LBACSYS,LBAC$AFTER_CREATE,SYS,,DATABASE,AFTER EVENT,CREATE,DISABLED
LBACSYS,LBAC$AFTER_DROP,SYS,,DATABASE,AFTER EVENT,DROP,DISABLED
LBACSYS,LBAC$BEFORE_ALTER,SYS,,DATABASE,BEFORE EVENT,ALTER,DISABLED
MDSYS,CS_SRS_TRIGGER,MDSYS,CS_SRS,VIEW,INSTEAD OF,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,OGIS_CRS_DELETE_TRIGGER,MDSYS,OGIS_SPATIAL_REFERENCE_SYSTEMS,TABLE,BEFORE EACH ROW,DELETE,ENABLED
MDSYS,OGIS_CRS_INSERT_TRIGGER,MDSYS,OGIS_SPATIAL_REFERENCE_SYSTEMS,TABLE,BEFORE EACH ROW,INSERT,ENABLED
MDSYS,SDO_COORD_AXES_ADMIN_TRIGGER,MDSYS,SDO_COORD_AXES,TABLE,BEFORE STATEMENT,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_COORD_AXIS_NAMES_ADMIN_TRIGGER,MDSYS,SDO_COORD_AXIS_NAMES,TABLE,BEFORE STATEMENT,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_COORD_OP_METHODS_TRIGGER,MDSYS,SDO_COORD_OP_METHODS,TABLE,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_COORD_OP_PARAM_VALS_ADMIN_TRIGGER,MDSYS,SDO_COORD_OP_PARAM_VALS,TABLE,BEFORE STATEMENT,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_COORD_OP_PARAM_VAL_TRIGGER,MDSYS,SDO_COORD_OP_PARAM_VALS,TABLE,AFTER EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_COORD_OP_PARAM_VAL_TRIGG2,MDSYS,SDO_COORD_OP_PARAM_VALS,TABLE,AFTER STATEMENT,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_COORD_OP_PATHS_ADMIN_TRIGGER,MDSYS,SDO_COORD_OP_PATHS,TABLE,BEFORE STATEMENT,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_COORD_OP_PATHS_TRIGGER,MDSYS,SDO_COORD_OP_PATHS,TABLE,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
MDSYS,SDO_COORD_OPS_ADMIN_TRIGGER,MDSYS,SDO_COORD_OPS,TABLE,BEFORE STATEMENT,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_COORD_OPS_TRIGGER,MDSYS,SDO_COORD_OPS,TABLE,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_COORD_REF_SRID_INSERT,MDSYS,SDO_COORD_REF_SYS,TABLE,BEFORE EACH ROW,INSERT,ENABLED
MDSYS,SDO_COORD_REF_SRID_UPDATE,MDSYS,SDO_COORD_REF_SYS,TABLE,AFTER EACH ROW,UPDATE OR DELETE,ENABLED
MDSYS,SDO_COORD_REF_SYSTEM_ADMIN_TRIGGER,MDSYS,SDO_COORD_REF_SYS,TABLE,BEFORE STATEMENT,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_CRS_DELETE_TRIGGER,MDSYS,SDO_COORD_REF_SYSTEM,VIEW,INSTEAD OF,DELETE,ENABLED
