OWNER,TABLE_NAME,COMMENTS
APPQOSSYS,WLM_CLASSIFIER_PLAN,
APPQOSSYS,WLM_FEATURE_USAGE,
APPQOSSYS,WLM_METRICS_STREAM,
APPQOSSYS,WLM_MPA_STREAM,
APPQOSSYS,WLM_VIOLATION_STREAM,
AUDSYS,AUD$UNIFIED,
AUDSYS,CDB_UNIFIED_AUDIT_TRAIL,All audit trail entries in all containers
AUDSYS,CDB_XS_AUDIT_TRAIL,Describes all XS related audit records in all containers
AUDSYS,DBA_XS_AUDIT_TRAIL,Describes all XS related audit records
AUDSYS,DV$CONFIGURATION_AUDIT,
AUDSYS,DV$ENFORCEMENT_AUDIT,
AUDSYS,UNIFIED_AUDIT_TRAIL,All audit trail entries
CTXSYS,CTX_ALEXER_DICTS,
CTXSYS,CTX_AUTO_OPTIMIZE_INDEXES,
CTXSYS,CTX_AUTO_OPTIMIZE_STATUS,
CTXSYS,CTX_AUTOSYNC_JOBS,
CTXSYS,CTX_AUTOSYNC_STATUS,
CTXSYS,CTX_CLASSES,
CTXSYS,CTX_EXTRACT_POLICIES,
CTXSYS,CTX_EXTRACT_POLICY_VALUES,
CTXSYS,CTX_FILTER_BY_COLUMNS,
CTXSYS,CTX_FILTER_CACHE_STATISTICS,
CTXSYS,CTX_INDEX_ERRORS,
CTXSYS,CTX_INDEXES,
CTXSYS,CTX_INDEX_OBJECTS,
CTXSYS,CTX_INDEX_PARTITIONS,
CTXSYS,CTX_INDEX_SECTIONS,
CTXSYS,CTX_INDEX_SET_INDEXES,
CTXSYS,CTX_INDEX_SETS,
CTXSYS,CTX_INDEX_SUB_LEXERS,
CTXSYS,CTX_INDEX_SUB_LEXER_VALUES,
CTXSYS,CTX_INDEX_VALUES,
CTXSYS,CTX_OBJECT_ATTRIBUTE_LOV,
CTXSYS,CTX_OBJECT_ATTRIBUTES,
CTXSYS,CTX_OBJECTS,
CTXSYS,CTX_ORDER_BY_COLUMNS,
CTXSYS,CTX_PARAMETERS,
CTXSYS,CTX_PENDING,
CTXSYS,CTX_PREFERENCES,
CTXSYS,CTX_PREFERENCE_VALUES,
CTXSYS,CTX_SECTION_GROUPS,
CTXSYS,CTX_SECTIONS,
CTXSYS,CTX_SQES,
CTXSYS,CTX_STOPLISTS,
CTXSYS,CTX_STOPWORDS,
CTXSYS,CTX_SUB_LEXERS,
CTXSYS,CTX_THESAURI,
CTXSYS,CTX_THES_PHRASES,
CTXSYS,CTX_TRACE_VALUES,
CTXSYS,CTX_USER_ALEXER_DICTS,
CTXSYS,CTX_USER_AUTO_OPTIMIZE_INDEXES,
CTXSYS,CTX_USER_AUTOSYNC_JOBS,
CTXSYS,CTX_USER_AUTOSYNC_STATUS,
CTXSYS,CTX_USER_EXTRACT_POLICIES,
CTXSYS,CTX_USER_EXTRACT_POLICY_VALUES,
CTXSYS,CTX_USER_EXTRACT_RULES,
CTXSYS,CTX_USER_EXTRACT_STOP_ENTITIES,
CTXSYS,CTX_USER_EXTRACT_TYPE,
CTXSYS,CTX_USER_FILTER_BY_COLUMNS,
