OWNER,TABLE_NAME,COLUMN_NAME,COMMENTS
APPQOSSYS,WLM_CLASSIFIER_PLAN,ACTIVE,
APPQOSSYS,WLM_CLASSIFIER_PLAN,CHKSUM,
APPQOSSYS,WLM_CLASSIFIER_PLAN,CLPCSTR,
APPQOSSYS,WLM_CLASSIFIER_PLAN,NCLSRS,
APPQOSSYS,WLM_CLASSIFIER_PLAN,OPER,
APPQOSSYS,WLM_CLASSIFIER_PLAN,SEQNO,
APPQOSSYS,WLM_CLASSIFIER_PLAN,TIMESTAMP,
APPQOSSYS,WLM_FEATURE_USAGE,CURMODE,
APPQOSSYS,WLM_FEATURE_USAGE,CURNUMPC,
APPQOSSYS,WLM_FEATURE_USAGE,FEATURE_INFO,
APPQOSSYS,WLM_FEATURE_USAGE,MANAGED,
APPQOSSYS,WLM_FEATURE_USAGE,MANAGED_CUMTIME,
APPQOSSYS,WLM_FEATURE_USAGE,MAXPC,
APPQOSSYS,WLM_FEATURE_USAGE,MEASUREONLY,
APPQOSSYS,WLM_FEATURE_USAGE,MEASUREONLY_CUMTIME,
APPQOSSYS,WLM_FEATURE_USAGE,MODEBTIME,
APPQOSSYS,WLM_FEATURE_USAGE,MONITOR,
APPQOSSYS,WLM_FEATURE_USAGE,MONITOR_CUMTIME,
APPQOSSYS,WLM_FEATURE_USAGE,PREVMODE,
APPQOSSYS,WLM_FEATURE_USAGE,STATS1,
APPQOSSYS,WLM_FEATURE_USAGE,STATS2,
APPQOSSYS,WLM_FEATURE_USAGE,STATS3,
APPQOSSYS,WLM_FEATURE_USAGE,TIMESTAMP,
APPQOSSYS,WLM_FEATURE_USAGE,USED,
APPQOSSYS,WLM_METRICS_STREAM,NEGATIVE_INTERVAL,
APPQOSSYS,WLM_METRICS_STREAM,PC,
APPQOSSYS,WLM_METRICS_STREAM,TIMESTAMP,
APPQOSSYS,WLM_MPA_STREAM,NAME,
APPQOSSYS,WLM_MPA_STREAM,RISKLEVEL,
APPQOSSYS,WLM_MPA_STREAM,SERVERORPOOL,
APPQOSSYS,WLM_VIOLATION_STREAM,SERVERPOOL,
APPQOSSYS,WLM_VIOLATION_STREAM,TIMESTAMP,
APPQOSSYS,WLM_VIOLATION_STREAM,VIOLATION,
AUDSYS,AUD$UNIFIED,ACTION,
AUDSYS,AUD$UNIFIED,ADDITIONAL_INFO,
AUDSYS,AUD$UNIFIED,APPLICATION_CONTEXTS,
AUDSYS,AUD$UNIFIED,AUDIT_OPTION,
AUDSYS,AUD$UNIFIED,AUDIT_TYPE,
AUDSYS,AUD$UNIFIED,AUTHENTICATION_TYPE,
AUDSYS,AUD$UNIFIED,CLIENT_IDENTIFIER,
AUDSYS,AUD$UNIFIED,CLIENT_PROGRAM_NAME,
AUDSYS,AUD$UNIFIED,CON_ID,
AUDSYS,AUD$UNIFIED,CURRENT_USER,
AUDSYS,AUD$UNIFIED,DBID,
AUDSYS,AUD$UNIFIED,DBLINK_INFO,
AUDSYS,AUD$UNIFIED,DB_UNIQUE_NAME,
AUDSYS,AUD$UNIFIED,DIRECT_PATH_NUM_COLUMNS_LOADED,
AUDSYS,AUD$UNIFIED,DP_BOOLEAN_PARAMETERS1,
AUDSYS,AUD$UNIFIED,DP_TEXT_PARAMETERS1,
AUDSYS,AUD$UNIFIED,DP_WARNINGS1,
AUDSYS,AUD$UNIFIED,DV_ACTION_CODE,
AUDSYS,AUD$UNIFIED,DV_ACTION_NAME,
AUDSYS,AUD$UNIFIED,DV_ACTION_OBJECT_NAME,
AUDSYS,AUD$UNIFIED,DV_COMMENT,
AUDSYS,AUD$UNIFIED,DV_EXTENDED_ACTION_CODE,
AUDSYS,AUD$UNIFIED,DV_FACTOR_CONTEXT,
AUDSYS,AUD$UNIFIED,DV_GRANTEE,
