SCHEMA_NAME,TABLE_PATTERN,TABLE_COUNT
APPQOSSYS,WLM%,5
CTXSYS,DR%,52
DBSNMP,MGMT%,15
DBSNMP,BSLN%,5
DVSYS,RULE%,8
DVSYS,FACTOR%,7
DVSYS,POLICY%,6
DVSYS,REALM%,6
DVSYS,CODE%,3
GSMADMIN_INTERNAL,AQ%,6
GSMADMIN_INTERNAL,DATABASE%,3
GSMADMIN_INTERNAL,SHARD%,3
LBACSYS,OLS%,22
MDSYS,SDO%,85
MDSYS,EXT%,18
MDSYS,WFS%,16
MDSYS,OLS%,6
MDSYS,OPENLS%,4
MDSYS,NDM%,3
OJVMSYS,OJDS%,6
ORDDATA,ORDDCM%,90
ORDSYS,SI%,3
OUTLN,OL%,3
SYS,WRH%,250
SYS,WRI%,112
SYS,AQ%,76
SYS,WRR%,58
SYS,SCHEDULER%,42
SYS,STREAMS%,41
SYS,ROPP%,38
SYS,LOGMNRG%,37
SYS,SYS%,37
SYS,HCS%,34
SYS,RPP%,34
SYS,XS%,32
SYS,OLAP%,29
SYS,WRHS%,24
SYS,WRM%,22
SYSTEM,LOGMNR%,58
SYSTEM,MVIEW%,21
SYSTEM,LOGMNRC%,14
SYSTEM,LOGSTDBY%,12
SYSTEM,ROLLING%,8
SYSTEM,AQ%,6
SYSTEM,OL%,3
WMSYS,WM%,31
WMSYS,AQ%,6
XDB,XDB%,26
XDB,JSON%,4
XDB,X%,3
