USERNAME,ORACLE_MAINTAINED,TABLE_COUNT,VIEW_COUNT,SEQUENCE_COUNT,TRIGGER_COUNT
ANONYMOUS,Y,0,0,0,0
APPQOSSYS,Y,5,0,0,0
AUDSYS,Y,1,6,0,0
CTXSYS,Y,54,87,3,0
DBSFWUSER,Y,3,0,0,0
DBSNMP,Y,20,7,2,0
DGPDB_INT,Y,0,0,0,0
DIP,Y,0,0,0,0
DVF,Y,0,0,0,0
DVSYS,Y,44,122,22,0
GGSYS,Y,0,0,0,0
GSMADMIN_INTERNAL,Y,43,13,17,5
GSMCATUSER,Y,0,0,0,0
GSMUSER,Y,0,0,0,0
LBACSYS,Y,22,77,3,3
MDDATA,Y,0,0,0,0
MDSYS,Y,148,101,18,84
OJVMSYS,Y,6,0,2,0
OLAPSYS,Y,2,18,1,0
ORACLE_OCM,Y,0,0,0,0
ORDDATA,Y,90,25,13,0
ORDPLUGINS,Y,0,0,0,0
ORDSYS,Y,4,5,0,0
OUTLN,Y,3,0,0,0
PDBADMIN,N,0,0,0,0
REMOTE_SCHEDULER_AGENT,Y,0,0,0,0
SI_INFORMTN_SCHEMA,Y,0,0,0,0
SYS,Y,1696,7003,184,5
SYSBACKUP,Y,0,0,0,0
SYSDG,Y,0,0,0,0
SYSKM,Y,0,0,0,0
SYSRAC,Y,0,0,0,0
SYSTEM,Y,134,10,7,0
SYS$UMF,Y,0,0,0,0
WMSYS,Y,38,147,6,45
XDB,Y,35,7,5,7
XS$NULL,Y,0,0,0,0
