OWNER,TABLE_NAME
DVSYS,FACTOR$
DVSYS,FACTOR_LINK$
DVSYS,FACTOR_T$
DVSYS,FACTOR_T$_TEMP
DVSYS,FACTOR_TYPE$
DVSYS,FACTOR_TYPE_T$
DVSYS,FACTOR_TYPE_T$_TEMP
DVSYS,MAC_POLICY_FACTOR$
LBACSYS,OLS$DIP_EVENTS
ORDDATA,ORDDCM_MAPPED_PATHS
ORDDATA,ORDDCM_MAPPED_PATHS_TMP
ORDDATA,ORDDCM_MAPPED_PATHS_WRK
SYS,AQ_EVENT_TABLE
SYS,AQ$_PDB_MON_EVENT_QTABLE$_G
SYS,AQ$_PDB_MON_EVENT_QTABLE$_H
SYS,AQ$_PDB_MON_EVENT_QTABLE$_I
SYS,AQ$_PDB_MON_EVENT_QTABLE$_L
SYS,AQ$_PDB_MON_EVENT_QTABLE$_S
SYS,AQ$_PDB_MON_EVENT_QTABLE$_T
SYS,AQ$_SCHEDULER$_EVENT_QTAB_G
SYS,AQ$_SCHEDULER$_EVENT_QTAB_H
SYS,AQ$_SCHEDULER$_EVENT_QTAB_I
SYS,AQ$_SCHEDULER$_EVENT_QTAB_L
SYS,AQ$_SCHEDULER$_EVENT_QTAB_S
SYS,AQ$_SCHEDULER$_EVENT_QTAB_T
SYS,BLOCKCHAIN_TABLE_DROPPED$
SYS,CQN_EVENT_TABLE
SYS,DAM_CLEANUP_EVENTS$
SYS,DBFS$_CLIENTS
SYS,HCS_AV_FACT_COLUMN$
SYS,KET$_CLIENT_CONFIG
SYS,KET$_CLIENT_TASKS
SYS,PDB_MON_EVENT_QTABLE$
SYS,REPL$_PROCESS_EVENTS
SYS,SCHEDULER$_EVENT_LOG
SYS,SCHEDULER$_EVENT_QTAB
SYS,STREAMS$_COMPONENT_EVENT_IN
SYS,TYPED_VIEW$
SYS,UMF$_EVENTLOG
SYS,WI$_FREQUENT_PATTERN_ITEM
SYS,WRH$_BG_EVENT_SUMMARY
SYS,WRH$_BG_EVENT_SUMMARY_BL
SYS,WRH$_CON_SYSTEM_EVENT
SYS,WRH$_CON_SYSTEM_EVENT_BL
SYS,WRH$_EVENT_HISTOGRAM
SYS,WRH$_EVENT_HISTOGRAM_BL
SYS,WRH$_EVENT_NAME
SYS,WRH$_IC_CLIENT_STATS
SYS,WRH$_IC_CLIENT_STATS_BL
SYS,WRHS$_EVENT_NAME
SYS,WRH$_SYSTEM_EVENT
SYS,WRH$_SYSTEM_EVENT_BL
SYS,WRR$_REPLAY_CLIENTS
SYS,WRW$_CLIENT_DELIVERY_SVC
SYS,WRW$_CLIENT_MAILPKG
SYSTEM,LOGSTDBY$EVENTS
SYSTEM,ROLLING$EVENTS
SYSTEM,SQLPLUS_PRODUCT_PROFILE
WMSYS,AQ$_WM$EVENT_QUEUE_TABLE_G
WMSYS,AQ$_WM$EVENT_QUEUE_TABLE_H
WMSYS,AQ$_WM$EVENT_QUEUE_TABLE_I
WMSYS,AQ$_WM$EVENT_QUEUE_TABLE_L
WMSYS,AQ$_WM$EVENT_QUEUE_TABLE_S
WMSYS,AQ$_WM$EVENT_QUEUE_TABLE_T
WMSYS,WM$EVENT_QUEUE_TABLE
WMSYS,WM$EVENTS_INFO$
