CHILD_OWNER,CHILD_TABLE,FK_NAME,PARENT_OWNER,PARENT_TABLE,FK_COLUMNS,ORPHAN_COUNT
SYSTEM,SRI_DETALOGF,ERDO_LGFA_FK,SYSTEM,SRI_LOGFACTU,1,4
SYSTEM,ADM_DETAUTOR,DTAU_AUTO_FK,SYSTEM,ADM_AUTORIZA,1,0
SYSTEM,AFJ_AFDETMOV,AFDM_AFRQ_FK,SYSTEM,AFJ_AFREQUIS,2,0
SYSTEM,AFJ_AFDETMOV,AFDM_INRN_FK,SYSTEM,INF_RESPNODO,1,0
SYSTEM,AFJ_AFDETMOV,AFDM_MEMO_FK,SYSTEM,AFJ_MEMORAND,1,0
SYSTEM,AFJ_AFDETMOV,AFDM_RCDP_FK,SYSTEM,CLI_RCCLDAPE,3,0
SYSTEM,AFJ_AFDETMOV,AFDM_STCT_FK,SYSTEM,SRV_STCOTRRE,1,0
SYSTEM,AFJ_AFDETMOV,AFDM_UMED_FK,SYSTEM,ALM_UNIDMEDI,1,0
SYSTEM,AFJ_DETALLE,DAC1_ASTO_FK,SYSTEM,CNT_ASIENTO,2,0
SYSTEM,AFJ_DETALLE,DAC1_MEMO_FK,SYSTEM,AFJ_MEMORAND,1,0
SYSTEM,ALM_DETABASC,DTBA_PRFM_FK,SYSTEM,VEN_PROFORMA,1,0
SYSTEM,ALM_DETABASC,DTBA_UMED_FK,SYSTEM,ALM_UNIDMEDI,1,0
SYSTEM,ALM_DETADESP,DTPS_DSPO_FK,SYSTEM,ALM_DESPACHOS,1,0
SYSTEM,ALM_DETADESP,DTPS_EGEN_FK,SYSTEM,GEN_ESTADOS,1,0
SYSTEM,ALM_DETALOTE,DTLT_DTMV_FK,SYSTEM,ALM_DETAMOVI,1,0
SYSTEM,ALM_DETALOTE,DTLT_LOTE_FK,SYSTEM,ALM_LOTE,3,0
SYSTEM,ALM_DETAMOVI,DTMV_DCAM_FK,SYSTEM,ALM_DECAMPRES,1,0
SYSTEM,ALM_DETAMOVI,DTMV_DREQ_FK,SYSTEM,ALM_DETAREQU,1,0
SYSTEM,ALM_DETAMOVI,DTMV_DTMV_FK,SYSTEM,ALM_DETAMOVI,1,0
SYSTEM,ALM_DETAMOVI,DTMV_ENSA_FK,SYSTEM,ALM_ENTRASALI,4,0
SYSTEM,ALM_DETAMOVI,DTMV_IMPT_FK,SYSTEM,IMP_IMPORTAC,3,0
SYSTEM,ALM_DETAMOVI,DTMV_NCCL_FK,SYSTEM,VEN_NOTACRED,4,0
SYSTEM,ALM_DETAMOVI,DTMV_NCPR_FK,SYSTEM,COM_NOTACREDI,5,0
SYSTEM,ALM_DETAMOVI,DTMV_RCTA_FK,SYSTEM,CST_RECETA,1,0
SYSTEM,ALM_DETAMOVI,DTMV_SECC_FK,SYSTEM,ALM_SECCFISC,4,0
SYSTEM,ALM_DETAMOVI,DTMV_UMED_FK,SYSTEM,ALM_UNIDMEDI,1,0
SYSTEM,ALM_DETAMOVI,DTMV_UMED_FK2,SYSTEM,ALM_UNIDMEDI,1,0
SYSTEM,ALM_DETAMOVI,DTMV_VNTA_FK,SYSTEM,VEN_VENTAS,5,0
SYSTEM,ALM_DETAPLAN,DTPL_PLIM_FK,SYSTEM,ALM_PLANIMPR,1,0
SYSTEM,ALM_DETAPROY,DPRO_PRPD_FK,SYSTEM,ALM_PROYPROD,1,0
SYSTEM,ALM_DETAREQU,DREQ_REQU_FK,SYSTEM,ALM_REQUERIM,4,0
SYSTEM,ALM_DETAREQU,DREQ_SECC_FK,SYSTEM,ALM_SECCFISC,4,0
SYSTEM,ALM_DETARTLL,DATLL_TLLA_FK,SYSTEM,ALM_TALLAS,1,0
SYSTEM,ALM_DETATOFI,ADTF_ATFS_FK,SYSTEM,ALM_TOMAFISC,4,0
SYSTEM,ALM_DETATOFI,ADTF_ENSA_FK,SYSTEM,ALM_ENTRASALI,4,0
SYSTEM,ALM_DETATOFI,ADTF_SECC_FK,SYSTEM,ALM_SECCFISC,4,0
SYSTEM,ALM_PROYPROD,PRPD_BDGA_FK,SYSTEM,ALM_BODEGAS,3,0
SYSTEM,ALM_TMPDETALOTE,TDLT_DPR_FK,SYSTEM,VEN_DETAPROD,1,0
SYSTEM,ALM_TMPDETALOTE,TDLT_DXML_FK,SYSTEM,ALM_TMPDETAMOVI,1,0
SYSTEM,ALM_TMPDETALOTE,TDLT_LOTE_FK,SYSTEM,ALM_LOTE,3,0
SYSTEM,ALM_TMPDETAMOVI,DXML_CXML_FK,SYSTEM,COM_TMPCOMPRAS,5,0
SYSTEM,CLI_DETALINE,DTLN_LNCR_FK,SYSTEM,CLI_LINECRED,2,0
SYSTEM,CNT_DETASIENTO,DAST_CCST_FK,SYSTEM,GEN_CENTCOST,3,0
SYSTEM,CNT_DETASIENTO,DAST_CTAS_FK,SYSTEM,CNT_CUENTAS,3,0
SYSTEM,CNT_DETASIENTO,DAST_DAST_FK,SYSTEM,CNT_DETASIENTO,1,0
SYSTEM,CNT_DETIPIMP,DTIP_TPIM_FK,SYSTEM,CNT_TIPOIMPU,1,0
SYSTEM,COB_DETACHEQ,DCHE_CHQE_FK,SYSTEM,CAJ_CHEQUES,1,0
SYSTEM,COB_DETACHEQ,DCHE_EGEN_FK,SYSTEM,GEN_ESTADOS,1,0
SYSTEM,COB_DETACHEQ,DCHE_PLCB_FK,SYSTEM,VEN_PLANCOBR,1,0
SYSTEM,COB_DETACOBRO,DTCB_ASTO_FK,SYSTEM,CNT_ASIENTO,2,0
SYSTEM,COB_DETACOBRO,DTCB_EGEN_FK,SYSTEM,GEN_ESTADOS,1,0
SYSTEM,COB_DETACOBRO,DTCB_NCCL_FK,SYSTEM,VEN_NOTACRED,4,0
