OWNER,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE
SYSTEM,VEN_VENTAS,1,OFCN_COMPANIA,VARCHAR2,10,,,N
SYSTEM,VEN_VENTAS,2,DESCUENTO,NUMBER,22,8,2,Y
SYSTEM,VEN_VENTAS,3,IMPRESO,VARCHAR2,1,,,N
SYSTEM,VEN_VENTAS,4,ESPECIAL,VARCHAR2,1,,,N
SYSTEM,VEN_VENTAS,5,FECHDESP,DATE,7,,,Y
SYSTEM,VEN_VENTAS,6,DESPACHO,VARCHAR2,1,,,N
SYSTEM,VEN_VENTAS,7,OFCN_OFICINA,VARCHAR2,3,,,N
SYSTEM,VEN_VENTAS,8,SERIE,VARCHAR2,6,,,N
SYSTEM,VEN_VENTAS,9,NUMERO,NUMBER,22,10,0,N
SYSTEM,VEN_VENTAS,10,FECHA,DATE,7,,,N
SYSTEM,VEN_VENTAS,11,TASAIVA,NUMBER,22,7,4,N
SYSTEM,VEN_VENTAS,12,TASAICE,NUMBER,22,7,4,Y
SYSTEM,VEN_VENTAS,13,BASEIVA0,NUMBER,22,16,2,N
SYSTEM,VEN_VENTAS,14,REFER,VARCHAR2,30,,,Y
SYSTEM,VEN_VENTAS,15,OBS,VARCHAR2,1000,,,Y
SYSTEM,VEN_VENTAS,16,FECHVALI,DATE,7,,,Y
SYSTEM,VEN_VENTAS,17,ANEXO,VARCHAR2,1,,,N
SYSTEM,VEN_VENTAS,18,FECHVCTO,DATE,7,,,Y
SYSTEM,VEN_VENTAS,19,FECHCANC,DATE,7,,,Y
SYSTEM,VEN_VENTAS,20,IMPSERVI,VARCHAR2,1,,,N
SYSTEM,VEN_VENTAS,21,VALIMPSERVI,NUMBER,22,16,2,Y
SYSTEM,VEN_VENTAS,22,BASEIVA,NUMBER,22,16,2,N
SYSTEM,VEN_VENTAS,23,TOTAL,NUMBER,22,16,2,Y
SYSTEM,VEN_VENTAS,24,NUMEAUTO,VARCHAR2,15,,,Y
SYSTEM,VEN_VENTAS,25,EGEN_ESTADO,VARCHAR2,2,,,N
