OWNER,OBJECT_TYPE,OBJECT_NAME,STATUS,CREATED,LAST_DDL_TIME
SYSTEM,FUNCTION,CF_ESTCTAPROFORMULA,INVALID,2026-03-31 19:19:35,2026-03-31 19:22:11
SYSTEM,FUNCTION,F_CONSUMO_MINIMO,INVALID,2026-03-31 19:19:35,2026-03-31 19:22:11
SYSTEM,FUNCTION,F_CREARNCFACTURADIFERIDA,INVALID,2026-03-31 19:19:35,2026-03-31 19:22:11
SYSTEM,FUNCTION,F_DESENCRIPTA,INVALID,2026-03-31 19:19:35,2026-03-31 19:22:11
SYSTEM,FUNCTION,F_DETAMOVI_VS_DETALOTE,INVALID,2026-03-31 19:19:35,2026-03-31 19:22:11
SYSTEM,FUNCTION,F_ENCRIPTA,INVALID,2026-03-31 19:19:35,2026-03-31 19:22:11
SYSTEM,FUNCTION,SIGUIENTEINSTANCIA,INVALID,2026-03-31 19:19:35,2026-03-31 19:22:11
SYSTEM,PACKAGE,CG$AFJ_ACTIFIJO,INVALID,2026-03-31 19:19:35,2026-03-31 19:22:13
SYSTEM,PACKAGE,CG$ALM_ARCHGRND,INVALID,2026-03-31 19:19:36,2026-03-31 19:22:17
SYSTEM,PACKAGE,CG$ALM_ARTICULOS,INVALID,2026-03-31 19:19:36,2026-03-31 19:22:17
SYSTEM,PACKAGE,CG$ALM_UNIDNEGO,INVALID,2026-03-31 19:19:41,2026-03-31 19:22:32
SYSTEM,PACKAGE,CG$CLI_CLIENTE,INVALID,2026-03-31 19:19:44,2026-03-31 19:22:40
SYSTEM,PACKAGE,CG$CLI_DOCUINT,INVALID,2026-03-31 19:19:45,2026-03-31 19:22:43
SYSTEM,PACKAGE,CG$CLI_DOCULOBS,INVALID,2026-03-31 19:19:45,2026-03-31 19:22:44
SYSTEM,PACKAGE,CG$CLI_NATURALES,INVALID,2026-03-31 19:19:46,2026-03-31 19:22:47
SYSTEM,PACKAGE,CG$CNT_ANEXOXML,INVALID,2026-03-31 19:19:49,2026-03-31 19:22:56
SYSTEM,PACKAGE,CG$COM_COMPRAS,INVALID,2026-03-31 19:19:52,2026-03-31 19:23:07
SYSTEM,PACKAGE,CG$ECT_DECLARACION,INVALID,2026-03-31 19:19:55,2026-03-31 19:23:16
SYSTEM,PACKAGE,CG$GEN_COMPANIA,INVALID,2026-03-31 19:19:56,2026-03-31 19:23:19
SYSTEM,PACKAGE,CG$GEN_OFICINA,INVALID,2026-03-31 19:19:57,2026-03-31 19:23:23
SYSTEM,PACKAGE,CG$GEN_PROVEEDOR,INVALID,2026-03-31 19:19:58,2026-03-31 19:23:26
SYSTEM,PACKAGE,CG$IMP_REGISANI,INVALID,2026-03-31 19:20:02,2026-03-31 19:23:37
SYSTEM,PACKAGE,CG$INF_NODO,INVALID,2026-03-31 19:20:02,2026-03-31 19:23:39
SYSTEM,PACKAGE,CG$ORT_ORDETRAB,INVALID,2026-03-31 19:20:03,2026-03-31 19:23:41
SYSTEM,PACKAGE,CG$RHH_EMPLEADO,INVALID,2026-03-31 19:20:09,2026-03-31 19:24:02
SYSTEM,PACKAGE,CG$TLL_FOTORDEN,INVALID,2026-03-31 19:20:16,2026-03-31 19:24:23
SYSTEM,PACKAGE,CG$VEN_LSTAPREC,INVALID,2026-03-31 19:20:19,2026-03-31 19:24:32
SYSTEM,PACKAGE,PKGBODEGADATOSDWH,INVALID,2026-03-31 19:20:27,2026-03-31 19:24:57
SYSTEM,PACKAGE,PKGCOMPLEMENTOS,INVALID,2026-03-31 19:20:22,2026-03-31 20:06:04
SYSTEM,PACKAGE,PKGENERAL,INVALID,2026-03-31 19:20:22,2026-03-31 19:24:42
SYSTEM,PACKAGE,PKGENERAL_BAK,INVALID,2026-03-31 19:20:23,2026-03-31 19:24:42
SYSTEM,PACKAGE,PKGINTEGRACION,INVALID,2026-03-31 19:20:25,2026-03-31 19:24:49
