CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
SYSTEM,ADM_DETAUTOR,DTAU_AUTO_FK,1,AUTO_AUTO_ID,SYSTEM,ADM_AUTORIZA,AUTO_ID,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_AFRQ_FK,1,AFRQ_NUMERO,SYSTEM,AFJ_AFREQUIS,NUMERO,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_AFRQ_FK,2,AFRQ_ENTRSALE,SYSTEM,AFJ_AFREQUIS,ENTRSALE,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_INRN_FK,1,INRN_ID,SYSTEM,INF_RESPNODO,INRN_ID,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_MEMO_FK,1,MEMO_ID,SYSTEM,AFJ_MEMORAND,MEMO_ID,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_RCDP_FK,1,RCDP_COMPANIA,SYSTEM,CLI_RCCLDAPE,CLTE_COMPANIA,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_RCDP_FK,2,RCDP_IDCLIENTE,SYSTEM,CLI_RCCLDAPE,CLTE_IDCLIENTE,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_RCDP_FK,3,RCDP_IDRESCLI,SYSTEM,CLI_RCCLDAPE,IDRESCLI,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_STCT_FK,1,STCT_ID,SYSTEM,SRV_STCOTRRE,ID,NO ACTION,ENABLED
SYSTEM,AFJ_AFDETMOV,AFDM_UMED_FK,1,UMED_UNIDMEDI,SYSTEM,ALM_UNIDMEDI,UNIDMEDI,NO ACTION,ENABLED
SYSTEM,AFJ_DETALLE,DAC1_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,AFJ_DETALLE,DAC1_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,NO ACTION,ENABLED
SYSTEM,AFJ_DETALLE,DAC1_MEMO_FK,1,MEMO_MEMO_ID,SYSTEM,AFJ_MEMORAND,MEMO_ID,NO ACTION,ENABLED
SYSTEM,ALM_DETABASC,DTBA_PRFM_FK,1,PRFM_PRFM_ID,SYSTEM,VEN_PROFORMA,PRFM_ID,NO ACTION,ENABLED
SYSTEM,ALM_DETABASC,DTBA_UMED_FK,1,UMED_UNIDMEDI,SYSTEM,ALM_UNIDMEDI,UNIDMEDI,NO ACTION,ENABLED
SYSTEM,ALM_DETADESP,DTPS_DSPO_FK,1,DSPO_NUMERO,SYSTEM,ALM_DESPACHOS,NUMERO,NO ACTION,ENABLED
SYSTEM,ALM_DETADESP,DTPS_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,INF_ASOCONEX,IFCO_AFDM_FK,1,AFDM_AFDM_ID,SYSTEM,AFJ_AFDETMOV,AFDM_ID,NO ACTION,ENABLED
