OWNER,TABLE_NAME,CONSTRAINT_NAME,POSITION,COLUMN_NAME
SYSTEM,ADM_DETAUTOR,DTAU_PK,1,DTAU_ID
SYSTEM,AFJ_AFDETMOV,AFDM_PK,1,AFDM_ID
SYSTEM,AFJ_DETALLE,DAC1_PK,1,DAC1_ID
SYSTEM,ALM_DETABASC,DTBA_PK,1,DTBA_ID
SYSTEM,ALM_DETADESP,DTPS_PK,1,DTPS_ID
SYSTEM,ALM_DETALOTE,DTLT_PK,1,DTLT_ID
SYSTEM,ALM_DETAMOVI,DTMV_PK,1,DTMV_ID
SYSTEM,ALM_DETAPLAN,DTPL_PK_1,1,DTPL_ID
SYSTEM,ALM_DETAPROY,DPRO_PK,1,DPRO_ID
SYSTEM,ALM_DETAREQU,DREQ_PK,1,DREQ_ID
SYSTEM,ALM_DETARTLL,DATLL_PK,1,DATLL_ID
SYSTEM,ALM_DETATOFI,ADTF_PK,1,ADTF_ID
SYSTEM,ALM_PROYPROD,PRPD_PK,1,PRPD_ID
SYSTEM,ALM_TMPDETALOTE,TDLT_PK,1,TDLT_ID
SYSTEM,ALM_TMPDETAMOVI,DXML_PK,1,DXML_ID
SYSTEM,CLI_ACTIVCLIEN,ACTI_PK,1,ACTI_ID
SYSTEM,CLI_DETAINGEGR,DEIE_PK,1,TIPOINEG
SYSTEM,CLI_DETALINE,DTLN_PK,1,DTLN_ID
SYSTEM,CLI_DETAVISITA,DTVS_PK,1,DTVS_ID
SYSTEM,CLI_PROPICLIEN,PRCL_PK,1,PRCL_ID
SYSTEM,CNT_DETASIENTO,DAST_PK,1,DAST_ID
SYSTEM,CNT_DETIPIMP,DTIP_PK,1,DTIP_ID
SYSTEM,COB_DETACHEQ,DCHE_PK,1,DCHE_ID
SYSTEM,COB_DETACOBRO,DTCB_PK,1,DTCB_ID
SYSTEM,COB_DETADEBI,DDEB_PK,1,DDEB_ID
SYSTEM,COM_DETACOMP,CMDT_PK,1,CMDT_ID
SYSTEM,COM_DETASOLI,DSOL_PK,1,DSOL_ID
SYSTEM,COM_DETORDCP,DTOC_PK,1,DTOC_ID
SYSTEM,COM_PLANPAGO,PPAG_PK,1,PPAG_ID
SYSTEM,COM_TMPCOMPRAS,CXML_PK,1,SERIE
SYSTEM,COM_TMPCOMPRAS,CXML_PK,2,NUMERO
SYSTEM,COM_TMPCOMPRAS,CXML_PK,3,PROV_CEDURUC
SYSTEM,COM_TMPCOMPRAS,CXML_PK,4,ALCANCE
SYSTEM,COM_TMPCOMPRAS,CXML_PK,5,PROV_COMPANIA
SYSTEM,CST_DETARECT,DTRC_PK,1,ARTL_CODIGRUP
SYSTEM,CST_DETARECT,DTRC_PK,2,ARTL_COMPANIA
SYSTEM,CST_DETARECT,DTRC_PK,3,ARTL_CLASE
SYSTEM,CST_DETARECT,DTRC_PK,4,ARTL_ARTICULO
SYSTEM,CST_DETARECT,DTRC_PK,5,RCTA_ID
SYSTEM,CST_DETCENCS,DTCC_PK,1,DTCC_ID
SYSTEM,CST_ORDEPROD,OPRD_PK,1,NUMERO
SYSTEM,CST_ORDEPROD,OPRD_PK,2,OFCN_COMPANIA
SYSTEM,CST_ORDEPROD,OPRD_PK,3,OFCN_OFICINA
SYSTEM,CST_PRODUCCN,PROD_PK,1,NUMERO
SYSTEM,CST_PRODUCCN,PROD_PK,2,DTCC_DTCC_ID
SYSTEM,CST_SIMUDETA,DSIM_PK,1,DSIM_ID
SYSTEM,CST_VARIPROD,VARP_PK,1,VARP_ID
SYSTEM,DWH_VENTAS,DWVN_PK,1,DWVN_ID
SYSTEM,ECL_DETAFORMU,DTFR_PK,1,CODICAMP
SYSTEM,ECL_DETAFORMU,DTFR_PK,2,FRML_CODIGO
SYSTEM,ECT_DETADECLA,DTDC_PK,1,DTDC_ID
SYSTEM,GEN_FORMPAGO,FRPG_PK,1,FORMPAGO
SYSTEM,GEN_PERIPAGO,PRPG_PK,1,CODIPERI
SYSTEM,GEN_PRODUCTOS,PRDT_PK,1,PRODUCTO
SYSTEM,GEN_TIPOPAGO,TPPG_PK,1,CODIGO
SYSTEM,IMP_DENOTAPEDI,DTNP_PK,1,DTNP_ID
SYSTEM,IMP_NOTAPEDI,NTPD_PK,1,OFCN_COMPANIA
SYSTEM,IMP_NOTAPEDI,NTPD_PK,2,OFCN_OFICINA
SYSTEM,IMP_NOTAPEDI,NTPD_PK,3,NUMERO
SYSTEM,INF_DETAEQUI,INDE_PK,1,INDE_ID
SYSTEM,PAG_DETAPAGO,DPAG_PK,1,DPAG_ID
SYSTEM,PRT_DETASIENTO,PDAS_PK,1,PDAS_ID
SYSTEM,PRT_DETASOLI,PDSL_PK,1,PDSL_ID
SYSTEM,PRT_DETIPCAU,DCSL_PK,1,DCSL_ID
SYSTEM,PRT_SIMUDETA,SDET_PK,1,SDET_ID
SYSTEM,RHH_DETAPRES,DPRS_PK,1,DPRS_ID
SYSTEM,RHH_DETAVENC,CUOTAS_PK,1,CUOTAS_ID
SYSTEM,RHH_PAGOVACA,PGVC_PK,1,PGVC_ID
SYSTEM,RHH_PRODUCTOS,PRAC_PK2,1,CODIGO
SYSTEM,SEG_PRODUCTO,SPRO_PK,1,PRODUCTO
SYSTEM,SEG_PRODUSUA,PDUS_PK,1,PRDT_PRODUCTO
SYSTEM,SEG_PRODUSUA,PDUS_PK,2,USUA_IDUSUAR
SYSTEM,SRI_DETALOGF,ERDO_PK,1,ERDO_ID
SYSTEM,SRI_LOGFACTU,LGFA_PK,1,LGFA_ID
SYSTEM,SRV_INDETEOB,INDT_PK,1,ABRTECOB
SYSTEM,SRV_SEPRVDET,SPVD_PK,1,SPVD_ID
SYSTEM,TLL_DETAORDEN,DTOR_PK,1,DTOR_ID
SYSTEM,TLL_DETAREQUI,DTRQ_PK,1,DTRQ_ID
SYSTEM,TLL_ORDENTRC,ONRC_PK,1,NUMERO
SYSTEM,TLL_ORDENTRC,ONRC_PK,2,ORTB_COMPANIA
SYSTEM,TLL_ORDENTRC,ONRC_PK,3,ORTB_OFICINA
SYSTEM,TLL_ORDENTRC,ONRC_PK,4,ORTB_ORDEN
SYSTEM,TLL_ORDETRAB,ORTB_PK,1,ORDEN
SYSTEM,TLL_ORDETRAB,ORTB_PK,2,OFCN_COMPANIA
SYSTEM,TLL_ORDETRAB,ORTB_PK,3,OFCN_OFICINA
SYSTEM,TMP_DETAREQU,TMDR_PK,1,TMDR_ID
SYSTEM,VEN_DETAFACT,DTFC_PK,1,DTFC_ID
SYSTEM,VEN_DETAFLET,DTFL_PK,1,DTFL_ID
SYSTEM,VEN_DETAPROD,DPR_PK,1,DPR_ID
SYSTEM,VEN_DETAPROF,DPRF_PK,1,DPRF_ID
SYSTEM,VEN_DETARTPR,DTPR_PK,1,ARTL_COMPANIA
SYSTEM,VEN_DETARTPR,DTPR_PK,2,ARTL_CLASE
SYSTEM,VEN_DETARTPR,DTPR_PK,3,ARTL_CODIGRUP
SYSTEM,VEN_DETARTPR,DTPR_PK,4,ARTL_ARTICULO
SYSTEM,VEN_DETARTPR,DTPR_PK,5,LNEA_CODLINEA
SYSTEM,VEN_DETARTPR,DTPR_PK,6,LNEA_COMPANIA
SYSTEM,VEN_GRPOVENT,GRVN_PK,1,GRVN_ID
SYSTEM,VEN_PLANPAGO,PLPP_PK,1,PLPP_ID
SYSTEM,VEN_TMPRETDETA,TRDT_PK,1,TRDT_ID
SYSTEM,VEN_VENTAS,VNTA_PK,1,OFCN_COMPANIA
SYSTEM,VEN_VENTAS,VNTA_PK,2,OFCN_OFICINA
SYSTEM,VEN_VENTAS,VNTA_PK,3,SERIE
SYSTEM,VEN_VENTAS,VNTA_PK,4,NUMERO
SYSTEM,VEN_VENTAS,VNTA_PK,5,TPCM_TIPOCOMP
SYSTEM,VEN_VENTPERD,VNPD_PK,1,VNPD_ID
