OWNER,TABLE_NAME,TABLESPACE_NAME,NUM_ROWS,LAST_ANALYZED
SYSTEM,ADM_AUTORIZA,SYSTEM,13127,2026-03-31 19:13:16
SYSTEM,ADM_DETAUTOR,SYSTEM,0,2026-03-31 19:13:17
SYSTEM,AFJ_ACTICENT,SYSTEM,0,2026-03-31 19:13:17
SYSTEM,AFJ_AFDETMOV,SYSTEM,0,2026-03-31 19:13:18
SYSTEM,AFJ_AFGRUPOS,SYSTEM,0,2026-03-31 19:13:18
SYSTEM,AFJ_AFREQUIS,SYSTEM,0,2026-03-31 19:13:18
SYSTEM,AFJ_AFTIPBOD,SYSTEM,0,2026-03-31 19:13:19
SYSTEM,AFJ_AMORTIZA,SYSTEM,0,2026-03-31 19:13:19
SYSTEM,AFJ_BIOLOGICO,SYSTEM,0,2026-03-31 19:13:19
SYSTEM,AFJ_CLASACTI,SYSTEM,10,2026-03-31 19:13:19
SYSTEM,AFJ_DEPRECIA,SYSTEM,180468,2026-03-31 19:13:23
SYSTEM,AFJ_DETALLE,SYSTEM,7,2026-03-31 19:13:23
SYSTEM,AFJ_ESTADO,SYSTEM,10,2026-03-31 19:13:24
SYSTEM,AFJ_GRUPACTI,SYSTEM,0,2026-03-31 19:13:24
SYSTEM,AFJ_LEASING,SYSTEM,0,2026-03-31 19:13:24
SYSTEM,AFJ_MEMORAND,SYSTEM,7,2026-03-31 19:13:25
SYSTEM,AFJ_TIPOTRAN,SYSTEM,6,2026-03-31 19:13:25
SYSTEM,ALM_BODEGAS,SYSTEM,29,2026-03-31 19:13:26
SYSTEM,ALM_CAMBPRES,SYSTEM,4055,2026-03-31 19:13:26
SYSTEM,ALM_CATEARTI,SYSTEM,0,2026-03-31 19:13:27
SYSTEM,ALM_CLASINVE,SYSTEM,25,2026-03-31 19:13:27
SYSTEM,ALM_CODIBARR,SYSTEM,0,2026-03-31 19:13:27
SYSTEM,ALM_COMPONENTE,SYSTEM,1978,2026-03-31 19:13:28
SYSTEM,ALM_CONVERSI,SYSTEM,0,2026-03-31 19:13:28
SYSTEM,ALM_DECAMPRES,SYSTEM,0,2026-03-31 19:13:28
SYSTEM,ALM_DEFICOST,SYSTEM,0,2026-03-31 19:13:29
SYSTEM,ALM_DESPACHOS,SYSTEM,1365,2026-03-31 19:13:29
SYSTEM,ALM_DETABASC,SYSTEM,0,2026-03-31 19:13:29
SYSTEM,ALM_DETADESP,SYSTEM,7415,2026-03-31 19:13:30
SYSTEM,ALM_DETALOTE,SYSTEM,55535,2026-03-31 19:13:31
SYSTEM,ALM_DETAMOVI,SYSTEM,77963,2026-03-31 19:13:35
SYSTEM,ALM_DETAMOVI_BK,SYSTEM,6615,2026-03-31 19:13:37
SYSTEM,ALM_DETAPLAN,SYSTEM,0,2026-03-31 19:13:38
SYSTEM,ALM_DETAPROY,SYSTEM,0,2026-03-31 19:13:38
SYSTEM,ALM_DETAREQU,SYSTEM,40,2026-03-31 19:13:38
SYSTEM,ALM_DETARTLL,SYSTEM,0,2026-03-31 19:13:39
SYSTEM,ALM_DETATOFI,SYSTEM,0,2026-03-31 19:13:39
SYSTEM,ALM_DTEGUIRM,SYSTEM,7459,2026-03-31 19:13:40
SYSTEM,ALM_ENTRASALI,SYSTEM,14747,2026-03-31 19:28:01
SYSTEM,ALM_ESPECIFICAC,SYSTEM,1504,2026-03-31 19:13:41
SYSTEM,ALM_ESPECTALL,SYSTEM,0,2026-03-31 19:13:41
SYSTEM,ALM_ETIQUETA,SYSTEM,0,2026-03-31 19:13:42
SYSTEM,ALM_FAVORITO,SYSTEM,0,2026-03-31 19:13:42
SYSTEM,ALM_GRUPARTI,SYSTEM,46,2026-03-31 19:13:42
SYSTEM,ALM_GUIAREMI,SYSTEM,7387,2026-03-31 19:13:43
SYSTEM,ALM_HISTARTI,SYSTEM,0,2026-03-31 19:13:44
SYSTEM,ALM_HISTEXIS,SYSTEM,0,2026-03-31 19:13:44
SYSTEM,ALM_IMPUESTO,SYSTEM,6943,2026-03-31 19:13:44
SYSTEM,ALM_LINEAS,SYSTEM,3,2026-03-31 19:13:45
SYSTEM,ALM_LINECOMP,SYSTEM,0,2026-03-31 19:13:45
SYSTEM,ALM_LOTE,SYSTEM,4992,2026-03-31 19:13:45
SYSTEM,ALM_PARACOMP,SYSTEM,0,2026-03-31 19:13:46
SYSTEM,ALM_PLANIMPR,SYSTEM,0,2026-03-31 19:13:46
SYSTEM,ALM_PRESARTI,SYSTEM,45,2026-03-31 19:13:46
SYSTEM,ALM_PROYPROD,SYSTEM,0,2026-03-31 19:13:46
SYSTEM,ALM_REQUERIM,SYSTEM,9,2026-03-31 19:13:47
SYSTEM,ALM_ROTACION,SYSTEM,0,2026-03-31 19:13:47
SYSTEM,ALM_SECCFISC,SYSTEM,38,2026-03-31 19:13:47
SYSTEM,ALM_SUBGARTI,SYSTEM,82,2026-03-31 19:13:48
SYSTEM,ALM_TALLAS,SYSTEM,0,2026-03-31 19:13:48
SYSTEM,ALM_TEMPROTA,SYSTEM,0,2026-03-31 19:13:48
SYSTEM,ALM_TIPOMEDI,SYSTEM,6,2026-03-31 19:13:48
SYSTEM,ALM_TMPDETALOTE,SYSTEM,12392,2026-03-31 19:13:48
SYSTEM,ALM_TMPDETAMOVI,SYSTEM,31121,2026-03-31 19:13:49
SYSTEM,ALM_TOMAFISC,SYSTEM,0,2026-03-31 19:13:50
SYSTEM,ALM_TRANPROC,SYSTEM,0,2026-03-31 19:13:50
SYSTEM,ALM_UBICACION,SYSTEM,75308,2026-03-31 19:13:51
SYSTEM,ALM_UNIDARTI,SYSTEM,3958,2026-03-31 19:13:52
SYSTEM,ALM_UNIDMEDI,SYSTEM,35,2026-03-31 19:13:52
SYSTEM,ALM_VRFCEXIS,SYSTEM,0,2026-03-31 19:13:53
