OWNER,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE
SYSTEM,ADM_AUTORIZA,1,USUASOLI,VARCHAR2,20,,,Y
SYSTEM,ADM_AUTORIZA,2,EGEN_ESTADO,VARCHAR2,2,,,Y
SYSTEM,ADM_AUTORIZA,3,USUATORI,VARCHAR2,20,,,Y
SYSTEM,ADM_AUTORIZA,4,MOTIVO,VARCHAR2,1000,,,Y
SYSTEM,ADM_AUTORIZA,5,FECHSOLI,DATE,7,,,Y
SYSTEM,ADM_AUTORIZA,6,FECHAUTO,DATE,7,,,Y
SYSTEM,ADM_AUTORIZA,7,AUTO_ID,NUMBER,22,10,0,N
SYSTEM,ADM_AUTORIZA,8,FECHCREA,DATE,7,,,N
SYSTEM,ADM_AUTORIZA,9,USUACREA,VARCHAR2,20,,,N
SYSTEM,ADM_AUTORIZA,10,FECHACTU,DATE,7,,,Y
SYSTEM,ADM_AUTORIZA,11,USUACTUA,VARCHAR2,20,,,Y
SYSTEM,ADM_AUTORIZA,12,ASTO_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,13,ASTO_NUMEDIAR,NUMBER,22,10,0,Y
SYSTEM,ADM_AUTORIZA,14,FECHPROC,DATE,7,,,Y
SYSTEM,ADM_AUTORIZA,15,USUAPROC,VARCHAR2,20,,,Y
SYSTEM,ADM_AUTORIZA,16,CRED_CRED_ID,NUMBER,22,10,0,Y
SYSTEM,ADM_AUTORIZA,17,SAPE_ID,NUMBER,22,10,0,Y
SYSTEM,ADM_AUTORIZA,18,CMPR_ALCANCE,NUMBER,22,1,0,Y
SYSTEM,ADM_AUTORIZA,19,CMPR_NUMERO,NUMBER,22,10,0,Y
SYSTEM,ADM_AUTORIZA,20,CMPR_SERIE,VARCHAR2,6,,,Y
SYSTEM,ADM_AUTORIZA,21,CPRE_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,22,ENSA_NUMERO,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,23,CMPR_CEDURUC,VARCHAR2,13,,,Y
SYSTEM,ADM_AUTORIZA,24,CMPR_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,25,CPRE_NUMERO,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,26,CPRE_OFICINA,VARCHAR2,3,,,Y
SYSTEM,ADM_AUTORIZA,27,ENSA_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,28,ENSA_OFICINA,VARCHAR2,3,,,Y
SYSTEM,ADM_AUTORIZA,29,ENSA_TIPODOCU,VARCHAR2,2,,,Y
SYSTEM,ADM_AUTORIZA,30,LSPR_LSPR_ID,NUMBER,22,10,0,Y
SYSTEM,ADM_AUTORIZA,31,OPRD_NUMERO,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,32,OPRD_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,33,OPRD_OFICINA,VARCHAR2,3,,,Y
SYSTEM,ADM_AUTORIZA,34,VNTA_NUMERO,NUMBER,22,10,0,Y
SYSTEM,ADM_AUTORIZA,35,VNTA_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,36,VNTA_OFICINA,VARCHAR2,3,,,Y
SYSTEM,ADM_AUTORIZA,37,VNTA_SERIE,VARCHAR2,6,,,Y
SYSTEM,ADM_AUTORIZA,38,MEMO_MEMO_ID,NUMBER,22,10,0,Y
SYSTEM,ADM_AUTORIZA,39,VNTA_TIPOCOMP,VARCHAR2,2,,,Y
SYSTEM,ADM_AUTORIZA,40,ORTR_ORTR_ID,NUMBER,22,10,0,Y
SYSTEM,ADM_AUTORIZA,41,NCCL_NUMERO,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,42,NCCL_OFICINA,VARCHAR2,3,,,Y
SYSTEM,ADM_AUTORIZA,43,NCCL_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,44,NCCL_SERIE,VARCHAR2,6,,,Y
SYSTEM,ADM_AUTORIZA,45,PRTM_OFICINA,VARCHAR2,3,,,Y
SYSTEM,ADM_AUTORIZA,46,PRTM_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,47,PRTM_NUMERO,NUMBER,22,,,Y
SYSTEM,ADM_AUTORIZA,48,PRTM_TIPODOCU,VARCHAR2,2,,,Y
SYSTEM,ADM_AUTORIZA,49,GPCM_CODIGRUP,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,50,CICLO,NUMBER,22,5,0,Y
SYSTEM,ADM_AUTORIZA,51,MOTIAUTO,VARCHAR2,500,,,Y
SYSTEM,ADM_AUTORIZA,52,NUMBER1,NUMBER,22,,,Y
SYSTEM,ADM_AUTORIZA,53,NUMBER2,NUMBER,22,,,Y
SYSTEM,ADM_AUTORIZA,54,NUMBER3,NUMBER,22,,,Y
SYSTEM,ADM_AUTORIZA,55,NUMBER4,NUMBER,22,,,Y
SYSTEM,ADM_AUTORIZA,56,NUMBER5,NUMBER,22,,,Y
SYSTEM,ADM_AUTORIZA,57,VCHAR1,VARCHAR2,500,,,Y
SYSTEM,ADM_AUTORIZA,58,VCHAR2,VARCHAR2,500,,,Y
SYSTEM,ADM_AUTORIZA,59,VCHAR3,VARCHAR2,500,,,Y
SYSTEM,ADM_AUTORIZA,60,VCHAR4,VARCHAR2,500,,,Y
SYSTEM,ADM_AUTORIZA,61,VCHAR5,VARCHAR2,500,,,Y
SYSTEM,ADM_AUTORIZA,62,FECHA1,DATE,7,,,Y
SYSTEM,ADM_AUTORIZA,63,FECHA2,DATE,7,,,Y
SYSTEM,ADM_AUTORIZA,64,FECHA3,DATE,7,,,Y
SYSTEM,ADM_AUTORIZA,65,FECHA4,DATE,7,,,Y
SYSTEM,ADM_AUTORIZA,66,FECHA5,DATE,7,,,Y
SYSTEM,ADM_AUTORIZA,67,PSLG_NUMERO,NUMBER,22,,,Y
SYSTEM,ADM_AUTORIZA,68,REQU_NUMERO,VARCHAR2,15,,,Y
SYSTEM,ADM_AUTORIZA,69,REQU_TIPODOCU,VARCHAR2,240,,,Y
SYSTEM,ADM_AUTORIZA,70,REQU_COMPANIA,VARCHAR2,10,,,Y
SYSTEM,ADM_AUTORIZA,71,REQU_OFICINA,VARCHAR2,3,,,Y
SYSTEM,ADM_AUTORIZA,72,PRFM_PRFM_ID,NUMBER,22,10,0,Y
SYSTEM,ADM_AUTORIZA,73,OFICSOLI,VARCHAR2,10,,,Y
SYSTEM,ADM_DETAUTOR,1,AUTO_AUTO_ID,NUMBER,22,10,0,N
SYSTEM,ADM_DETAUTOR,2,DTAU_ID,NUMBER,22,10,0,N
SYSTEM,ADM_DETAUTOR,3,FECHCREA,DATE,7,,,N
SYSTEM,ADM_DETAUTOR,4,USUACREA,VARCHAR2,20,,,N
SYSTEM,ADM_DETAUTOR,5,FECHACTU,DATE,7,,,Y
SYSTEM,ADM_DETAUTOR,6,USUACTUA,VARCHAR2,20,,,Y
SYSTEM,AFJ_ACTICENT,1,ACCE_ID,NUMBER,22,10,0,N
