OWNER,TABLE_NAME,CONSTRAINT_NAME,POSITION,COLUMN_NAME
SYSTEM,ADM_AUTORIZA,AUTO_PK,1,AUTO_ID
SYSTEM,ADM_DETAUTOR,DTAU_PK,1,DTAU_ID
SYSTEM,AFJ_ACTICENT,ACCE_PK,1,ACCE_ID
SYSTEM,AFJ_AFDETMOV,AFDM_PK,1,AFDM_ID
SYSTEM,AFJ_AFGRUPOS,AFGR_PK,1,AFJGRUPO
SYSTEM,AFJ_AFREQUIS,AFRQ_PK,1,NUMERO
SYSTEM,AFJ_AFREQUIS,AFRQ_PK,2,ENTRSALE
SYSTEM,AFJ_AFTIPBOD,AFTB_PK,1,AFTB_ID
SYSTEM,AFJ_AMORTIZA,AMRT_PK,1,AMRT_ID
SYSTEM,AFJ_BIOLOGICO,ACBI_PK,1,CODIGO
SYSTEM,AFJ_CLASACTI,CAFJ_PK,1,CLASE
SYSTEM,AFJ_CLASACTI,CAFJ_PK,2,CMPN_COMPANIA
SYSTEM,AFJ_DEPRECIA,DPRC_PK,1,DPRC_ID
SYSTEM,AFJ_DETALLE,DAC1_PK,1,DAC1_ID
SYSTEM,AFJ_ESTADO,EACT_PK,1,ESTADO
SYSTEM,AFJ_GRUPACTI,GAFJ_PK,1,CODIGRUP
SYSTEM,AFJ_GRUPACTI,GAFJ_PK,2,CAFJ_CLASE
SYSTEM,AFJ_GRUPACTI,GAFJ_PK,3,CAFJ_COMPANIA
SYSTEM,AFJ_LEASING,LEAS_PK,1,NUMERO
SYSTEM,AFJ_MEMORAND,MEMO_PK,1,MEMO_ID
SYSTEM,AFJ_TIPOTRAN,TRS_PK,1,TIPO
SYSTEM,ALM_BODEGAS,BDGA_PK,1,CODIBODE
SYSTEM,ALM_BODEGAS,BDGA_PK,2,OFCN_COMPANIA
SYSTEM,ALM_BODEGAS,BDGA_PK,3,OFCN_OFICINA
SYSTEM,ALM_CAMBPRES,CPRE_PK,1,OFCN_COMPANIA
SYSTEM,ALM_CAMBPRES,CPRE_PK,2,OFCN_OFICINA
SYSTEM,ALM_CAMBPRES,CPRE_PK,3,NUMERO
SYSTEM,ALM_CATEARTI,ARCT_PK,1,ARCT_ID
SYSTEM,ALM_CLASINVE,CINV_PK,1,CMPN_COMPANIA
SYSTEM,ALM_CLASINVE,CINV_PK,2,CLASE
SYSTEM,ALM_CODIBARR,CDBR_PK,1,CODIBARR
SYSTEM,ALM_COMPONENTE,COMP_PK,1,COMP_ID
SYSTEM,ALM_CONVERSI,CONV_PK,1,CONV_ID
SYSTEM,ALM_DECAMPRES,DCAM_PK,1,DCAM_ID
SYSTEM,ALM_DEFICOST,ARDC_PK,1,ARDC_ID
SYSTEM,ALM_DESPACHOS,DSPO_PK,1,NUMERO
SYSTEM,ALM_DETABASC,DTBA_PK,1,DTBA_ID
SYSTEM,ALM_DETADESP,DTPS_PK,1,DTPS_ID
SYSTEM,ALM_DETALOTE,DTLT_PK,1,DTLT_ID
SYSTEM,ALM_DETAMOVI,DTMV_PK,1,DTMV_ID
SYSTEM,ALM_DETAPLAN,DTPL_PK_1,1,DTPL_ID
SYSTEM,ALM_DETAPROY,DPRO_PK,1,DPRO_ID
SYSTEM,ALM_DETAREQU,DREQ_PK,1,DREQ_ID
SYSTEM,ALM_DETARTLL,DATLL_PK,1,DATLL_ID
SYSTEM,ALM_DETATOFI,ADTF_PK,1,ADTF_ID
SYSTEM,ALM_DTEGUIRM,DTGR_PK,1,DTGR_ID
SYSTEM,ALM_ENTRASALI,ENSA_PK,1,OFCN_COMPANIA
SYSTEM,ALM_ENTRASALI,ENSA_PK,2,OFCN_OFICINA
SYSTEM,ALM_ENTRASALI,ENSA_PK,3,TPDC_TIPODOCU
SYSTEM,ALM_ENTRASALI,ENSA_PK,4,NUMERO
SYSTEM,ALM_ESPECIFICAC,EPCF_PK,1,LNEA_CODLINEA
SYSTEM,ALM_ESPECIFICAC,EPCF_PK,2,LNEA_COMPANIA
SYSTEM,ALM_ESPECIFICAC,EPCF_PK,3,ARTL_COMPANIA
SYSTEM,ALM_ESPECIFICAC,EPCF_PK,4,ARTL_CLASE
SYSTEM,ALM_ESPECIFICAC,EPCF_PK,5,ARTL_CODIGRUP
SYSTEM,ALM_ESPECIFICAC,EPCF_PK,6,ARTL_ARTICULO
SYSTEM,ALM_ESPECIFICAC,EPCF_PK,7,PROV_COMPANIA
SYSTEM,ALM_ESPECIFICAC,EPCF_PK,8,PROV_CEDURUC
SYSTEM,ALM_ESPECTALL,SPTL_PK,1,SPTL_ID
SYSTEM,ALM_ETIQUETA,ETQT_PK,1,CODIGO
SYSTEM,ALM_FAVORITO,ARFR_PK,1,ARFR_ID
SYSTEM,ALM_GRUPARTI,GRAR_PK,1,CINV_COMPANIA
SYSTEM,ALM_GRUPARTI,GRAR_PK,2,CINV_CLASE
SYSTEM,ALM_GRUPARTI,GRAR_PK,3,CODIGRUP
SYSTEM,ALM_GUIAREMI,GURM_PK,1,OFCN_COMPANIA
SYSTEM,ALM_GUIAREMI,GURM_PK,2,OFCN_OFICINA
SYSTEM,ALM_GUIAREMI,GURM_PK,3,SERIE
SYSTEM,ALM_GUIAREMI,GURM_PK,4,NUMEGUIA
