CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
SYSTEM,ADM_AUTORIZA,AUTO_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_CPRE_FK,1,CPRE_COMPANIA,SYSTEM,ALM_CAMBPRES,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_CPRE_FK,2,CPRE_OFICINA,SYSTEM,ALM_CAMBPRES,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_CPRE_FK,3,CPRE_NUMERO,SYSTEM,ALM_CAMBPRES,NUMERO,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_CRED_FK,1,CRED_CRED_ID,SYSTEM,RHH_CREDITOS,CRED_ID,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_ENSA_FK,1,ENSA_COMPANIA,SYSTEM,ALM_ENTRASALI,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_ENSA_FK,2,ENSA_OFICINA,SYSTEM,ALM_ENTRASALI,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_ENSA_FK,3,ENSA_TIPODOCU,SYSTEM,ALM_ENTRASALI,TPDC_TIPODOCU,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_ENSA_FK,4,ENSA_NUMERO,SYSTEM,ALM_ENTRASALI,NUMERO,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_GPCM_FK,1,GPCM_CODIGRUP,SYSTEM,PRT_GRUPOSCOM,CODIGRUP,NO ACTION,ENABLED
SYSTEM,ADM_AUTORIZA,AUTO_MEMO_FK,1,MEMO_MEMO_ID,SYSTEM,AFJ_MEMORAND,MEMO_ID,NO ACTION,ENABLED
