OWNER,NAME,TYPE,LINE,POSITION,TEXT
SYSTEM,ACTUALIZAR_COSTOS,PROCEDURE,25,16,PL/SQL: ORA-00942: la tabla o vista no existe
SYSTEM,ACTUALIZAR_COSTOS,PROCEDURE,23,11,PL/SQL: SQL Statement ignored
SYSTEM,CF_ESTCTAPROFORMULA,FUNCTION,27,64,PL/SQL: ORA-00942: la tabla o vista no existe
SYSTEM,CF_ESTCTAPROFORMULA,FUNCTION,17,3,PL/SQL: SQL Statement ignored
SYSTEM,CG$AFJ_ACTIFIJO,PACKAGE BODY,1,14,PLS-00905: el objeto SYSTEM.CG$AFJ_ACTIFIJO no es v�lido
SYSTEM,CG$AFJ_ACTIFIJO,PACKAGE,117,8,PLS-00201: el identificador 'AFJ_ACTIFIJO' se debe declarar
SYSTEM,CG$AFJ_ACTIFIJO,PACKAGE BODY,1,14,PLS-00304: no se puede compilar el cuerpo de 'CG$AFJ_ACTIFIJO' sin su especificaci�n
SYSTEM,CG$AFJ_ACTIFIJO,PACKAGE,0,0,PL/SQL: Compilation unit analysis terminated
SYSTEM,CG$AFJ_ACTIFIJO,PACKAGE BODY,0,0,PL/SQL: Compilation unit analysis terminated
SYSTEM,CG$ALM_ARCHGRND,PACKAGE,22,8,PLS-00201: el identificador 'ALM_ARCHGRND' se debe declarar
SYSTEM,CG$ALM_ARCHGRND,PACKAGE BODY,1,14,PLS-00905: el objeto SYSTEM.CG$ALM_ARCHGRND no es v�lido
SYSTEM,CG$ALM_ARCHGRND,PACKAGE BODY,1,14,PLS-00304: no se puede compilar el cuerpo de 'CG$ALM_ARCHGRND' sin su especificaci�n
SYSTEM,CG$ALM_ARCHGRND,PACKAGE,0,0,PL/SQL: Compilation unit analysis terminated
SYSTEM,CG$ALM_ARCHGRND,PACKAGE BODY,0,0,PL/SQL: Compilation unit analysis terminated
SYSTEM,CG$ALM_ARTICULOS,PACKAGE,118,8,PLS-00201: el identificador 'ALM_ARTICULOS' se debe declarar
SYSTEM,CG$ALM_ARTICULOS,PACKAGE BODY,1,14,PLS-00905: el objeto SYSTEM.CG$ALM_ARTICULOS no es v�lido
SYSTEM,CG$ALM_ARTICULOS,PACKAGE,0,0,PL/SQL: Compilation unit analysis terminated
SYSTEM,CG$ALM_ARTICULOS,PACKAGE BODY,1,14,PLS-00304: no se puede compilar el cuerpo de 'CG$ALM_ARTICULOS' sin su especificaci�n
SYSTEM,CG$ALM_ARTICULOS,PACKAGE BODY,0,0,PL/SQL: Compilation unit analysis terminated
