sheet,cell,row,column,source,target_header,value_state,reason,label,description
AVL 9180,E9,9,E/5,objective,DET/AÑO/PROCESO,formula,target_column_formula,"SNAPPAK, 9180 9181","Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E9 (fila 9, columna E/5). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'SNAPPAK, 9180 9181' en B9."
AVL 9180,E10,10,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,DEPROTEINIZER (125 ML),"Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E10 (fila 10, columna E/5). Contexto de fila: 'DEPROTEINIZER (125 ML)' en B10."
AVL 9180,E11,11,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,CLEANING SOLUTION 988-4,"Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E11 (fila 11, columna E/5). Contexto de fila: 'CLEANING SOLUTION 988-4' en B11."
AVL 9180,E12,12,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,SODIUM CONDITIONER,"Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E12 (fila 12, columna E/5). Contexto de fila: 'SODIUM CONDITIONER' en B12."
AVL 9180,E13,13,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,"URINE DILUENT, 125ML (tiempo en uso 5 meses)","Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E13 (fila 13, columna E/5). Contexto de fila: 'URINE DILUENT, 125ML (tiempo en uso 5 meses)' en B13."
AVL 9180,E14,14,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,ISETROL ELECTROLYTE CTRL L 1-3,"Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E14 (fila 14, columna E/5). Contexto de fila: 'ISETROL ELECTROLYTE CTRL L 1-3' en B14."
AVL 9180,E15,15,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,PAPER 91XX SERIES PRINTER 5/PKG,"Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E15 (fila 15, columna E/5). Contexto de fila: 'PAPER 91XX SERIES PRINTER 5/PKG' en B15."
AVL 9180,E16,16,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,AVL NA+ ELECTRODE,"Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E16 (fila 16, columna E/5). Contexto de fila: 'AVL NA+ ELECTRODE' en B16."
AVL 9180,E17,17,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,AVL K+ ELECTRODE,"Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E17 (fila 17, columna E/5). Contexto de fila: 'AVL K+ ELECTRODE' en B17."
AVL 9180,E18,18,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,AVL CA+ ELECTRODE,"Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E18 (fila 18, columna E/5). Contexto de fila: 'AVL CA+ ELECTRODE' en B18."
AVL 9180,E19,19,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,AVL CL ECTRODE,"Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E19 (fila 19, columna E/5). Contexto de fila: 'AVL CL ECTRODE' en B19."
AVL 9180,E20,20,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,"ELECTRODE, ISE REFERENCE, 91XX","Rellenar columna 'DET/AÑO/PROCESO' en AVL 9180!E20 (fila 20, columna E/5). Contexto de fila: 'ELECTRODE, ISE REFERENCE, 91XX' en B20."
