sheet,cell,row,column,source,target_header,value_state,reason,label,description
BC,B5,5,B/2,general,,,label_context,ENTIDAD CONTRATANTE,"Rellenar 'ENTIDAD CONTRATANTE' en BC!B5 (fila 5, columna B/2). Referencia detectada en A5 (left)."
BC,B6,6,B/2,general,,,label_context,CLIENTE,"Rellenar 'CLIENTE' en BC!B6 (fila 6, columna B/2). Referencia detectada en A6 (left)."
BC,B7,7,B/2,general,,,label_context,Código del Proceso,"Rellenar 'Código del Proceso' en BC!B7 (fila 7, columna B/2). Referencia detectada en A7 (left)."
BC,B8,8,B/2,general,,,label_context,Objeto de contratación,"Rellenar 'Objeto de contratación' en BC!B8 (fila 8, columna B/2). Referencia detectada en A8 (left)."
BC,B9,9,B/2,general,,,label_context,Provincia /Ciudad,"Rellenar 'Provincia /Ciudad' en BC!B9 (fila 9, columna B/2). Referencia detectada en A9 (left)."
BC,B11,11,B/2,general,,,label_context,Número de días por semana que trabaja el laboratorio,"Rellenar 'Número de días por semana que trabaja el laboratorio' en BC!B11 (fila 11, columna B/2). Referencia detectada en A11 (left)."
BC,B12,12,B/2,general,,,label_context,Turnos por dia,"Rellenar 'Turnos por dia' en BC!B12 (fila 12, columna B/2). Referencia detectada en A12 (left)."
BC,B13,13,B/2,general,,,label_context,Horas por turno,"Rellenar 'Horas por turno' en BC!B13 (fila 13, columna B/2). Referencia detectada en A13 (left)."
BC,B14,14,B/2,general,,,label_context,Controles de calidad por turno,"Rellenar 'Controles de calidad por turno' en BC!B14 (fila 14, columna B/2). Referencia detectada en A14 (left)."
BC,B15,15,B/2,general,,,label_context,Niveles de Control,"Rellenar 'Niveles de Control' en BC!B15 (fila 15, columna B/2). Referencia detectada en A15 (left)."
BC,B16,16,B/2,general,,,label_context,Frecuencia de controles de calidad  (Rutina),"Rellenar 'Frecuencia de controles de calidad  (Rutina)' en BC!B16 (fila 16, columna B/2). Referencia detectada en A16 (left)."
BC,B17,17,B/2,general,,,label_context,Pruebas Especiales,"Rellenar 'Pruebas Especiales' en BC!B17 (fila 17, columna B/2). Referencia detectada en A17 (left)."
BC,B18,18,B/2,general,,,label_context,Frecuencia de controles de calidad pruebas especiales,"Rellenar 'Frecuencia de controles de calidad pruebas especiales' en BC!B18 (fila 18, columna B/2). Referencia detectada en A18 (left)."
BC,B20,20,B/2,general,,,label_context,Nombre de Equipo Principal,"Rellenar 'Nombre de Equipo Principal' en BC!B20 (fila 20, columna B/2). Referencia detectada en A20 (left)."
BC,B22,22,B/2,general,,,label_context,Estado de equipo: Propio / Alquilado /Nuevo /Reservado/ Serie (FAM),"Rellenar 'Estado de equipo: Propio / Alquilado /Nuevo /Reservado/ Serie (FAM)' en BC!B22 (fila 22, columna B/2). Referencia detectada en A22 (left)."
BC,B23,23,B/2,general,,,label_context,Imagen reserva de equipo,"Rellenar 'Imagen reserva de equipo' en BC!B23 (fila 23, columna B/2). Referencia detectada en A23 (left)."
