sheet,cell,row,column,source,target_header,reason,label,description
XN 1000,F9,9,F/6,objective,DET/AÑO PROCESO,target_column,CELLPACK DCL,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F9 (fila 9, columna F/6). Contexto de fila: 'CELLPACK DCL' en C9."
XN 1000,F10,10,F/6,objective,DET/AÑO PROCESO,target_column,SULFOLYSER REAGENT X 5L,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F10 (fila 10, columna F/6). Contexto de fila: 'SULFOLYSER REAGENT X 5L' en C10."
XN 1000,F11,11,F/6,objective,DET/AÑO PROCESO,target_column,SULFOLYSER REAGENT 500 ml,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F11 (fila 11, columna F/6). Contexto de fila: 'SULFOLYSER REAGENT 500 ml' en C11."
XN 1000,F12,12,F/6,objective,DET/AÑO PROCESO,target_column,WDF Lysercell WDF,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F12 (fila 12, columna F/6). Contexto de fila: 'WDF Lysercell WDF' en C12."
XN 1000,F13,13,F/6,objective,DET/AÑO PROCESO,target_column,WDF Fluorocell WDF 2X42 ML,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F13 (fila 13, columna F/6). Contexto de fila: 'WDF Fluorocell WDF 2X42 ML' en C13."
XN 1000,F14,14,F/6,objective,DET/AÑO PROCESO,target_column,FLUOROCELL WNR 2 X 82ML,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F14 (fila 14, columna F/6). Contexto de fila: 'FLUOROCELL WNR 2 X 82ML' en C14."
XN 1000,F15,15,F/6,objective,DET/AÑO PROCESO,target_column,LYSERCELL-WNR WNR-210A,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F15 (fila 15, columna F/6). Contexto de fila: 'LYSERCELL-WNR WNR-210A' en C15."
XN 1000,F16,16,F/6,objective,DET/AÑO PROCESO,target_column,CELLCLEAN AUTO 4 ML X 20,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F16 (fila 16, columna F/6). Contexto de fila: 'CELLCLEAN AUTO 4 ML X 20' en C16."
XN 1000,F17,17,F/6,objective,DET/AÑO PROCESO,target_column,"XN Check 12x3.0ml Level 1,2,3","Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F17 (fila 17, columna F/6). Contexto de fila: 'XN Check 12x3.0ml Level 1,2,3' en C17."
XN 1000,F18,18,F/6,objective,DET/AÑO PROCESO,target_column,FLUOROCELL PLT 2 X 12ML,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F18 (fila 18, columna F/6). Contexto de fila: 'FLUOROCELL PLT 2 X 12ML' en C18."
XN 1000,F19,19,F/6,objective,DET/AÑO PROCESO,target_column,CELLPACK DFL 1 L,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F19 (fila 19, columna F/6). Contexto de fila: 'CELLPACK DFL 1 L' en C19."
XN 1000,F20,20,F/6,objective,DET/AÑO PROCESO,target_column,FLUOROCELL RET 2 X 12ML,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F20 (fila 20, columna F/6). Contexto de fila: 'FLUOROCELL RET 2 X 12ML' en C20."
XN 1000,F21,21,F/6,objective,DET/AÑO PROCESO,target_column,CELLPACK DFL 1 L,"Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F21 (fila 21, columna F/6). Contexto de fila: 'CELLPACK DFL 1 L' en C21."
XN 1000,F22,22,F/6,objective,DET/AÑO PROCESO,target_column,"XN-Check BF 6x3.0ml Level 1,2","Rellenar columna 'DET/AÑO PROCESO' en XN 1000!F22 (fila 22, columna F/6). Contexto de fila: 'XN-Check BF 6x3.0ml Level 1,2' en C22."
XN 1000,I9,9,I/9,objective,PRODUCTO A ENTREGAR,target_column,CELLPACK DCL,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I9 (fila 9, columna I/9). Contexto de fila: 'CELLPACK DCL' en C9."
XN 1000,I10,10,I/9,objective,PRODUCTO A ENTREGAR,target_column,SULFOLYSER REAGENT X 5L,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I10 (fila 10, columna I/9). Contexto de fila: 'SULFOLYSER REAGENT X 5L' en C10."
XN 1000,I11,11,I/9,objective,PRODUCTO A ENTREGAR,target_column,SULFOLYSER REAGENT 500 ml,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I11 (fila 11, columna I/9). Contexto de fila: 'SULFOLYSER REAGENT 500 ml' en C11."
XN 1000,I12,12,I/9,objective,PRODUCTO A ENTREGAR,target_column,WDF Lysercell WDF,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I12 (fila 12, columna I/9). Contexto de fila: 'WDF Lysercell WDF' en C12."
XN 1000,I13,13,I/9,objective,PRODUCTO A ENTREGAR,target_column,WDF Fluorocell WDF 2X42 ML,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I13 (fila 13, columna I/9). Contexto de fila: 'WDF Fluorocell WDF 2X42 ML' en C13."
XN 1000,I14,14,I/9,objective,PRODUCTO A ENTREGAR,target_column,FLUOROCELL WNR 2 X 82ML,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I14 (fila 14, columna I/9). Contexto de fila: 'FLUOROCELL WNR 2 X 82ML' en C14."
XN 1000,I15,15,I/9,objective,PRODUCTO A ENTREGAR,target_column,LYSERCELL-WNR WNR-210A,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I15 (fila 15, columna I/9). Contexto de fila: 'LYSERCELL-WNR WNR-210A' en C15."
XN 1000,I16,16,I/9,objective,PRODUCTO A ENTREGAR,target_column,CELLCLEAN AUTO 4 ML X 20,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I16 (fila 16, columna I/9). Contexto de fila: 'CELLCLEAN AUTO 4 ML X 20' en C16."
XN 1000,I17,17,I/9,objective,PRODUCTO A ENTREGAR,target_column,"XN Check 12x3.0ml Level 1,2,3","Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I17 (fila 17, columna I/9). Contexto de fila: 'XN Check 12x3.0ml Level 1,2,3' en C17."
XN 1000,I18,18,I/9,objective,PRODUCTO A ENTREGAR,target_column,FLUOROCELL PLT 2 X 12ML,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I18 (fila 18, columna I/9). Contexto de fila: 'FLUOROCELL PLT 2 X 12ML' en C18."
XN 1000,I19,19,I/9,objective,PRODUCTO A ENTREGAR,target_column,CELLPACK DFL 1 L,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I19 (fila 19, columna I/9). Contexto de fila: 'CELLPACK DFL 1 L' en C19."
XN 1000,I20,20,I/9,objective,PRODUCTO A ENTREGAR,target_column,FLUOROCELL RET 2 X 12ML,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I20 (fila 20, columna I/9). Contexto de fila: 'FLUOROCELL RET 2 X 12ML' en C20."
XN 1000,I21,21,I/9,objective,PRODUCTO A ENTREGAR,target_column,CELLPACK DFL 1 L,"Rellenar columna 'PRODUCTO A ENTREGAR' en XN 1000!I21 (fila 21, columna I/9). Contexto de fila: 'CELLPACK DFL 1 L' en C21."
