sheet,cell,row,column,source,target_header,value_state,reason,label,description
XN-L,F9,9,F/6,objective,DET/AÑO PROCESO,formula,target_column_formula,CELLPACK DCL,"Rellenar columna 'DET/AÑO PROCESO' en XN-L!F9 (fila 9, columna F/6). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'CELLPACK DCL' en C9."
XN-L,F10,10,F/6,objective,DET/AÑO PROCESO,formula,target_column_formula,SULFOLYSER REAGENT X 5L,"Rellenar columna 'DET/AÑO PROCESO' en XN-L!F10 (fila 10, columna F/6). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'SULFOLYSER REAGENT X 5L' en C10."
XN-L,F11,11,F/6,objective,DET/AÑO PROCESO,formula,target_column_formula,SULFOLYSER REAGENT 500 ml,"Rellenar columna 'DET/AÑO PROCESO' en XN-L!F11 (fila 11, columna F/6). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'SULFOLYSER REAGENT 500 ml' en C11."
XN-L,F12,12,F/6,objective,DET/AÑO PROCESO,formula,target_column_formula,WDF Lysercell WDF,"Rellenar columna 'DET/AÑO PROCESO' en XN-L!F12 (fila 12, columna F/6). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'WDF Lysercell WDF' en C12."
XN-L,F13,13,F/6,objective,DET/AÑO PROCESO,formula,target_column_formula,WDF Fluorocell WDF 2X42 ML,"Rellenar columna 'DET/AÑO PROCESO' en XN-L!F13 (fila 13, columna F/6). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'WDF Fluorocell WDF 2X42 ML' en C13."
XN-L,F14,14,F/6,objective,DET/AÑO PROCESO,formula,target_column_formula,CELLCLEAN AUTO 4 ML X 20,"Rellenar columna 'DET/AÑO PROCESO' en XN-L!F14 (fila 14, columna F/6). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'CELLCLEAN AUTO 4 ML X 20' en C14."
XN-L,F15,15,F/6,objective,DET/AÑO PROCESO,formula,target_column_formula,"XN Check 12x3.0ml Level 1,2,3","Rellenar columna 'DET/AÑO PROCESO' en XN-L!F15 (fila 15, columna F/6). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'XN Check 12x3.0ml Level 1,2,3' en C15."
XN-L,F16,16,F/6,objective,DET/AÑO PROCESO,formula,target_column_formula,FLUOROCELL RET 2 X 12ML,"Rellenar columna 'DET/AÑO PROCESO' en XN-L!F16 (fila 16, columna F/6). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'FLUOROCELL RET 2 X 12ML' en C16."
XN-L,F17,17,F/6,objective,DET/AÑO PROCESO,formula,target_column_formula,CELLPACK DFL 1 L,"Rellenar columna 'DET/AÑO PROCESO' en XN-L!F17 (fila 17, columna F/6). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'CELLPACK DFL 1 L' en C17."
XN-L,F18,18,F/6,objective,DET/AÑO PROCESO,formula,target_column_formula,"XN-Check BF 6x3.0ml Level 1,2","Rellenar columna 'DET/AÑO PROCESO' en XN-L!F18 (fila 18, columna F/6). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'XN-Check BF 6x3.0ml Level 1,2' en C18."
