sheet,cell,row,column,source,target_header,value_state,reason,label,description
b123,E9,9,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,FLUID PACK COOX 200,"Rellenar columna 'DET/AÑO/PROCESO' en b123!E9 (fila 9, columna E/5). Contexto de fila: 'FLUID PACK COOX 200' en B9."
b123,E10,10,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,"Combitrol Plus B, Level 2, 30 pcs","Rellenar columna 'DET/AÑO/PROCESO' en b123!E10 (fila 10, columna E/5). Contexto de fila: 'Combitrol Plus B, Level 2, 30 pcs' en B10."
b123,E11,11,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,"Combitrol Plus B, Level 1, 30 pcs","Rellenar columna 'DET/AÑO/PROCESO' en b123!E11 (fila 11, columna E/5). Contexto de fila: 'Combitrol Plus B, Level 1, 30 pcs' en B11."
b123,E12,12,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,"Combitrol Plus B, Level 3, 30 pcs","Rellenar columna 'DET/AÑO/PROCESO' en b123!E12 (fila 12, columna E/5). Contexto de fila: 'Combitrol Plus B, Level 3, 30 pcs' en B12."
b123,E13,13,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,"Sensor Cartridge, BG/ISE/GLU/LAC","Rellenar columna 'DET/AÑO/PROCESO' en b123!E13 (fila 13, columna E/5). Contexto de fila: 'Sensor Cartridge, BG/ISE/GLU/LAC' en B13."
b123,E14,14,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,"Printer paper,  b123","Rellenar columna 'DET/AÑO/PROCESO' en b123!E14 (fila 14, columna E/5). Contexto de fila: 'Printer paper,  b123' en B14."
b123,E15,15,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,CLOT CATCHER PRO,"Rellenar columna 'DET/AÑO/PROCESO' en b123!E15 (fila 15, columna E/5). Contexto de fila: 'CLOT CATCHER PRO' en B15."
b123,E16,16,E/5,objective,DET/AÑO/PROCESO,empty,target_column_empty,AMPOULE ADAPTER (150 PCS),"Rellenar columna 'DET/AÑO/PROCESO' en b123!E16 (fila 16, columna E/5). Contexto de fila: 'AMPOULE ADAPTER (150 PCS)' en B16."
b123,H9,9,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,FLUID PACK COOX 200,"Rellenar columna 'PRODUCTO A ENVIAR' en b123!H9 (fila 9, columna H/8). Contexto de fila: 'FLUID PACK COOX 200' en B9."
b123,H10,10,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,"Combitrol Plus B, Level 2, 30 pcs","Rellenar columna 'PRODUCTO A ENVIAR' en b123!H10 (fila 10, columna H/8). Contexto de fila: 'Combitrol Plus B, Level 2, 30 pcs' en B10."
b123,H11,11,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,"Combitrol Plus B, Level 1, 30 pcs","Rellenar columna 'PRODUCTO A ENVIAR' en b123!H11 (fila 11, columna H/8). Contexto de fila: 'Combitrol Plus B, Level 1, 30 pcs' en B11."
b123,H12,12,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,"Combitrol Plus B, Level 3, 30 pcs","Rellenar columna 'PRODUCTO A ENVIAR' en b123!H12 (fila 12, columna H/8). Contexto de fila: 'Combitrol Plus B, Level 3, 30 pcs' en B12."
b123,H13,13,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,"Sensor Cartridge, BG/ISE/GLU/LAC","Rellenar columna 'PRODUCTO A ENVIAR' en b123!H13 (fila 13, columna H/8). Contexto de fila: 'Sensor Cartridge, BG/ISE/GLU/LAC' en B13."
b123,H14,14,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,"Printer paper,  b123","Rellenar columna 'PRODUCTO A ENVIAR' en b123!H14 (fila 14, columna H/8). Contexto de fila: 'Printer paper,  b123' en B14."
b123,H15,15,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,CLOT CATCHER PRO,"Rellenar columna 'PRODUCTO A ENVIAR' en b123!H15 (fila 15, columna H/8). Contexto de fila: 'CLOT CATCHER PRO' en B15."
b123,H16,16,H/8,objective,PRODUCTO A ENVIAR,empty,target_column_empty,AMPOULE ADAPTER (150 PCS),"Rellenar columna 'PRODUCTO A ENVIAR' en b123!H16 (fila 16, columna H/8). Contexto de fila: 'AMPOULE ADAPTER (150 PCS)' en B16."
