sheet,cell,row,column,source,target_header,reason,label,description
c111,E9,9,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Glucosa,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E9 (fila 9, columna E/5). Contexto de fila: 'Glucosa' en B9."
c111,E10,10,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Urea,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E10 (fila 10, columna E/5). Contexto de fila: 'Urea' en B10."
c111,E11,11,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Creatinina,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E11 (fila 11, columna E/5). Contexto de fila: 'Creatinina' en B11."
c111,E12,12,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Acido Úrico,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E12 (fila 12, columna E/5). Contexto de fila: 'Acido Úrico' en B12."
c111,E13,13,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Colesterol,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E13 (fila 13, columna E/5). Contexto de fila: 'Colesterol' en B13."
c111,E14,14,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Triglicéridos,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E14 (fila 14, columna E/5). Contexto de fila: 'Triglicéridos' en B14."
c111,E15,15,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,ALT - TGP,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E15 (fila 15, columna E/5). Contexto de fila: 'ALT - TGP' en B15."
c111,E16,16,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,AST - TGO,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E16 (fila 16, columna E/5). Contexto de fila: 'AST - TGO' en B16."
c111,E17,17,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Fosfatasa alcalina,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E17 (fila 17, columna E/5). Contexto de fila: 'Fosfatasa alcalina' en B17."
c111,E18,18,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Bilirrubina Total,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E18 (fila 18, columna E/5). Contexto de fila: 'Bilirrubina Total' en B18."
c111,E19,19,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Bilirrubina Directa,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E19 (fila 19, columna E/5). Contexto de fila: 'Bilirrubina Directa' en B19."
c111,E20,20,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,HDL Colesterol,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E20 (fila 20, columna E/5). Contexto de fila: 'HDL Colesterol' en B20."
c111,E21,21,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,AMILASA,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E21 (fila 21, columna E/5). Contexto de fila: 'AMILASA' en B21."
c111,E22,22,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,LIPASA,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E22 (fila 22, columna E/5). Contexto de fila: 'LIPASA' en B22."
c111,E23,23,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,GGT,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E23 (fila 23, columna E/5). Contexto de fila: 'GGT' en B23."
c111,E24,24,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Albumina,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E24 (fila 24, columna E/5). Contexto de fila: 'Albumina' en B24."
c111,E25,25,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,LDL Colesterol,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E25 (fila 25, columna E/5). Contexto de fila: 'LDL Colesterol' en B25."
c111,E26,26,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Calcio,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E26 (fila 26, columna E/5). Contexto de fila: 'Calcio' en B26."
c111,E27,27,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,CK,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E27 (fila 27, columna E/5). Contexto de fila: 'CK' en B27."
c111,E28,28,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,LDH,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E28 (fila 28, columna E/5). Contexto de fila: 'LDH' en B28."
c111,E29,29,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,HbA1c,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E29 (fila 29, columna E/5). Contexto de fila: 'HbA1c' en B29."
c111,E30,30,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Hierro,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E30 (fila 30, columna E/5). Contexto de fila: 'Hierro' en B30."
c111,E31,31,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Proteinas totales,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E31 (fila 31, columna E/5). Contexto de fila: 'Proteinas totales' en B31."
c111,E32,32,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,PCR latex,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E32 (fila 32, columna E/5). Contexto de fila: 'PCR latex' en B32."
c111,E33,33,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,D-Dimer,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E33 (fila 33, columna E/5). Contexto de fila: 'D-Dimer' en B33."
c111,E34,34,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Phosforo,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E34 (fila 34, columna E/5). Contexto de fila: 'Phosforo' en B34."
c111,E35,35,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,NH3L Ammonia,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E35 (fila 35, columna E/5). Contexto de fila: 'NH3L Ammonia' en B35."
c111,E36,36,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,CK-MB,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E36 (fila 36, columna E/5). Contexto de fila: 'CK-MB' en B36."
c111,E38,38,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,CALIBRADOR,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E38 (fila 38, columna E/5). Contexto de fila: 'CALIBRADOR' en A38."
c111,E39,39,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Calibrator f.a.s. 12x3 ml,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E39 (fila 39, columna E/5). Contexto de fila: 'Calibrator f.a.s. 12x3 ml' en B39."
c111,E40,40,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Cfas Lipids 3x1ML,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E40 (fila 40, columna E/5). Contexto de fila: 'Cfas Lipids 3x1ML' en B40."
c111,E41,41,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Cfas Proteins,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E41 (fila 41, columna E/5). Contexto de fila: 'Cfas Proteins' en B41."
c111,E42,42,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,"Cfas HbA1c, 3x2ml","Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E42 (fila 42, columna E/5). Contexto de fila: 'Cfas HbA1c, 3x2ml' en B42."
c111,E43,43,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Ammonia/Ethanol/CO2 Calibrator,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E43 (fila 43, columna E/5). Contexto de fila: 'Ammonia/Ethanol/CO2 Calibrator' en B43."
c111,E44,44,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Cfas D- Dimer,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E44 (fila 44, columna E/5). Contexto de fila: 'Cfas D- Dimer' en B44."
c111,E45,45,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Calibrator f.a.s. CK‑MB,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E45 (fila 45, columna E/5). Contexto de fila: 'Calibrator f.a.s. CK‑MB' en B45."
c111,E46,46,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,CONTROL,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E46 (fila 46, columna E/5). Contexto de fila: 'CONTROL' en A46."
c111,E47,47,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,PreciControl ClinChem Multi 1 4x5ml,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E47 (fila 47, columna E/5). Contexto de fila: 'PreciControl ClinChem Multi 1 4x5ml' en B47."
c111,E48,48,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,PreciControl ClinChem Multi 2 4x5ml,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E48 (fila 48, columna E/5). Contexto de fila: 'PreciControl ClinChem Multi 2 4x5ml' en B48."
c111,E49,49,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,PreciControl HBA1c Norm,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E49 (fila 49, columna E/5). Contexto de fila: 'PreciControl HBA1c Norm' en B49."
c111,E50,50,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,PRECICONTROL HBA1C PATH,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E50 (fila 50, columna E/5). Contexto de fila: 'PRECICONTROL HBA1C PATH' en B50."
c111,E51,51,E/5,objective,CANTIDAD PROCESO/AÑO,target_column,Ammonia/Ethanol/CO2 Control Normal,"Rellenar columna 'CANTIDAD PROCESO/AÑO' en c111!E51 (fila 51, columna E/5). Contexto de fila: 'Ammonia/Ethanol/CO2 Control Normal' en B51."
