sheet,cell,row,column,source,target_header,reason,label,description
c303 c503,F9,9,F/6,objective,DET/AÑO/PROCESO,target_column,"UA2, 1300T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F9 (fila 9, columna F/6). Contexto de fila: 'UA2, 1300T, cobas c pack green' en C9."
c303 c503,F10,10,F/6,objective,DET/AÑO/PROCESO,target_column,"ALB2, 750T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F10 (fila 10, columna F/6). Contexto de fila: 'ALB2, 750T, cobas c pack green' en C10."
c303 c503,F11,11,F/6,objective,DET/AÑO/PROCESO,target_column,"AMYL2, 750T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F11 (fila 11, columna F/6). Contexto de fila: 'AMYL2, 750T, cobas c pack green' en C11."
c303 c503,F12,12,F/6,objective,DET/AÑO/PROCESO,target_column,"AMY-P, 450T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F12 (fila 12, columna F/6). Contexto de fila: 'AMY-P, 450T, cobas c pack green' en C12."
c303 c503,F13,13,F/6,objective,DET/AÑO/PROCESO,target_column,"BILT3, 1050T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F13 (fila 13, columna F/6). Contexto de fila: 'BILT3, 1050T, cobas c pack green' en C13."
c303 c503,F14,14,F/6,objective,DET/AÑO/PROCESO,target_column,"BILD2, 1000T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F14 (fila 14, columna F/6). Contexto de fila: 'BILD2, 1000T, cobas c pack green' en C14."
c303 c503,F15,15,F/6,objective,DET/AÑO/PROCESO,target_column,"CA2, 1500T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F15 (fila 15, columna F/6). Contexto de fila: 'CA2, 1500T, cobas c pack green' en C15."
c303 c503,F16,16,F/6,objective,DET/AÑO/PROCESO,target_column,"CHOL2, 2600T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F16 (fila 16, columna F/6). Contexto de fila: 'CHOL2, 2600T, cobas c pack green' en C16."
c303 c503,F17,17,F/6,objective,DET/AÑO/PROCESO,target_column,"CHE2, 1050T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F17 (fila 17, columna F/6). Contexto de fila: 'CHE2, 1050T, cobas c pack green' en C17."
c303 c503,F18,18,F/6,objective,DET/AÑO/PROCESO,target_column,"CK, 500T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F18 (fila 18, columna F/6). Contexto de fila: 'CK, 500T, cobas c pack green' en C18."
c303 c503,F19,19,F/6,objective,DET/AÑO/PROCESO,target_column,"ALP2, 1100T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F19 (fila 19, columna F/6). Contexto de fila: 'ALP2, 1100T, cobas c pack green' en C19."
c303 c503,F20,20,F/6,objective,DET/AÑO/PROCESO,target_column,"PHOS2, 750T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F20 (fila 20, columna F/6). Contexto de fila: 'PHOS2, 750T, cobas c pack green' en C20."
c303 c503,F21,21,F/6,objective,DET/AÑO/PROCESO,target_column,"GGT-2, 400T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F21 (fila 21, columna F/6). Contexto de fila: 'GGT-2, 400T, cobas c pack green' en C21."
c303 c503,F22,22,F/6,objective,DET/AÑO/PROCESO,target_column,"GLUC3, 3300T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F22 (fila 22, columna F/6). Contexto de fila: 'GLUC3, 3300T, cobas c pack green' en C22."
c303 c503,F23,23,F/6,objective,DET/AÑO/PROCESO,target_column,"IRON2, 700T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F23 (fila 23, columna F/6). Contexto de fila: 'IRON2, 700T, cobas c pack green' en C23."
c303 c503,F24,24,F/6,objective,DET/AÑO/PROCESO,target_column,"LACT2, 100T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F24 (fila 24, columna F/6). Contexto de fila: 'LACT2, 100T, cobas c pack green' en C24."
c303 c503,F25,25,F/6,objective,DET/AÑO/PROCESO,target_column,"LDHI2, 850T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F25 (fila 25, columna F/6). Contexto de fila: 'LDHI2, 850T, cobas c pack green' en C25."
c303 c503,F26,26,F/6,objective,DET/AÑO/PROCESO,target_column,"LIPC, 200T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F26 (fila 26, columna F/6). Contexto de fila: 'LIPC, 200T, cobas c pack green' en C26."
c303 c503,F27,27,F/6,objective,DET/AÑO/PROCESO,target_column,"MG2, 690T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F27 (fila 27, columna F/6). Contexto de fila: 'MG2, 690T, cobas c pack green' en C27."
c303 c503,F28,28,F/6,objective,DET/AÑO/PROCESO,target_column,"ALTP2, 800T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F28 (fila 28, columna F/6). Contexto de fila: 'ALTP2, 800T, cobas c pack green' en C28."
c303 c503,F29,29,F/6,objective,DET/AÑO/PROCESO,target_column,"ASTP2, 800T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F29 (fila 29, columna F/6). Contexto de fila: 'ASTP2, 800T, cobas c pack green' en C29."
c303 c503,F30,30,F/6,objective,DET/AÑO/PROCESO,target_column,"TRIGL, 1000T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F30 (fila 30, columna F/6). Contexto de fila: 'TRIGL, 1000T, cobas c pack green' en C30."
c303 c503,F31,31,F/6,objective,DET/AÑO/PROCESO,target_column,"UREAL, 600T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F31 (fila 31, columna F/6). Contexto de fila: 'UREAL, 600T, cobas c pack green' en C31."
c303 c503,F32,32,F/6,objective,DET/AÑO/PROCESO,target_column,"HBDH, 300T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F32 (fila 32, columna F/6). Contexto de fila: 'HBDH, 300T, cobas c pack green' en C32."
c303 c503,F33,33,F/6,objective,DET/AÑO/PROCESO,target_column,"ALBP, 500T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F33 (fila 33, columna F/6). Contexto de fila: 'ALBP, 500T, cobas c pack green' en C33."
c303 c503,F34,34,F/6,objective,DET/AÑO/PROCESO,target_column,"TP2, 1050T, cobas c pack green","Rellenar columna 'DET/AÑO/PROCESO' en c303 c503!F34 (fila 34, columna F/6). Contexto de fila: 'TP2, 1050T, cobas c pack green' en C34."
