sheet,cell,row,column,source,target_header,value_state,reason,label,description
t411 h232,E10,10,E/5,objective,DET/AÑO/PROCESO,zero,target_column_zero,PT screen cobas t411 (10x10ml),"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E10 (fila 10, columna E/5). La celda tiene valor 0; verificar si corresponde ingresar valor real. Contexto de fila: 'PT screen cobas t411 (10x10ml)' en B10."
t411 h232,E11,11,E/5,objective,DET/AÑO/PROCESO,zero,target_column_zero,aPTT MedS cobas t411 (20x5ml),"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E11 (fila 11, columna E/5). La celda tiene valor 0; verificar si corresponde ingresar valor real. Contexto de fila: 'aPTT MedS cobas t411 (20x5ml)' en B11."
t411 h232,E12,12,E/5,objective,DET/AÑO/PROCESO,formula,target_column_formula,aPTT LowS cobas t411 (10x10ml),"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E12 (fila 12, columna E/5). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'aPTT LowS cobas t411 (10x10ml)' en B12."
t411 h232,E13,13,E/5,objective,DET/AÑO/PROCESO,formula,target_column_formula,PT Calibrator Set cobas t411 (5x1x1ml),"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E13 (fila 13, columna E/5). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'PT Calibrator Set cobas t411 (5x1x1ml)' en B13."
t411 h232,E14,14,E/5,objective,DET/AÑO/PROCESO,formula,target_column_formula,Control 1 cobas t411 (20x1ml),"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E14 (fila 14, columna E/5). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'Control 1 cobas t411 (20x1ml)' en B14."
t411 h232,E15,15,E/5,objective,DET/AÑO/PROCESO,formula,target_column_formula,Control 2 cobas t411 (20x1ml),"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E15 (fila 15, columna E/5). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'Control 2 cobas t411 (20x1ml)' en B15."
t411 h232,E16,16,E/5,objective,DET/AÑO/PROCESO,formula,target_column_formula,Control 4 cobas t411 (20x1ml),"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E16 (fila 16, columna E/5). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'Control 4 cobas t411 (20x1ml)' en B16."
t411 h232,E17,17,E/5,objective,DET/AÑO/PROCESO,zero,target_column_zero,D-Dimer Gen. 2 cobas t411,"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E17 (fila 17, columna E/5). La celda tiene valor 0; verificar si corresponde ingresar valor real. Contexto de fila: 'D-Dimer Gen. 2 cobas t411' en B17."
t411 h232,E18,18,E/5,objective,DET/AÑO/PROCESO,formula,target_column_formula,D-Dimer Gen.2 Control I/II for t411,"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E18 (fila 18, columna E/5). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'D-Dimer Gen.2 Control I/II for t411' en B18."
t411 h232,E19,19,E/5,objective,DET/AÑO/PROCESO,formula,target_column_formula,D-Dimer Gen.2 Calibrator for t411,"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E19 (fila 19, columna E/5). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'D-Dimer Gen.2 Calibrator for t411' en B19."
t411 h232,E21,21,E/5,objective,DET/AÑO/PROCESO,formula,target_column_formula,CC 25mM cobas t411 (10x15ml),"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E21 (fila 21, columna E/5). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'CC 25mM cobas t411 (10x15ml)' en B21."
t411 h232,E22,22,E/5,objective,DET/AÑO/PROCESO,formula,target_column_formula,Day Clean (12x11ml),"Rellenar columna 'DET/AÑO/PROCESO' en t411 h232!E22 (fila 22, columna E/5). La celda tiene formula; verificar si debe reemplazarse con dato manual. Contexto de fila: 'Day Clean (12x11ml)' en B22."
